pattern,reason,apply
scripts/outputs/mm3_1b_toa_p0_match_rows.csv,large_match_rows_reproducible_with_backfill,append_if_missing
scripts/outputs/mm3_1b_toa_p0_rejections.csv,large_rejections,append_if_missing
scripts/outputs/mm3_1b_toa_p0_market_board_rows.csv,large_board_rows,append_if_missing
scripts/outputs/mm3_1c_rejection_detail_rows.csv,large_rejection_detail,append_if_missing
scripts/outputs/mm3_1c_kickoff_tolerance_candidates.csv,large_tolerance_grid,append_if_missing
scripts/outputs/mm3_1d_matching_attempt_rows.csv,large_attempt_grid,append_if_missing
scripts/outputs/mm3_1d_best_match_rows.csv,large_best_match,append_if_missing
scripts/outputs/mm3_1d_improved_market_board_rows.csv,large_improved_board_rows,append_if_missing
scripts/outputs/mm3_1d_roi_safe_subset_v1.csv,large_roi_subset,append_if_missing
scripts/outputs/mm3_1d_roi_safe_subset_v1.json,large_roi_subset_json,append_if_missing
scripts/outputs/mm3_1c_roi_safe_subset_v0.csv,large_roi_subset,append_if_missing
scripts/outputs/mm3_1c_roi_safe_subset_v0.json,large_roi_subset_json,append_if_missing
scripts/outputs/mm3_1e_roi_safe_subset_v2_full.csv,large_roi_v2,append_if_missing
scripts/outputs/mm3_1e_roi_safe_subset_v2_stratified.csv,large_roi_v2,append_if_missing
scripts/outputs/mm3_1e_roi_safe_subset_v2_weighted.csv,large_roi_v2,append_if_missing
scripts/outputs/mm3_1a_backfill_batches.json,large_batch_plan,append_if_missing
scripts/outputs/mm3_1a_toa_pilot_raw.json,raw_pilot_payload,append_if_missing
.pytest_cache/,pytest_cache,append_if_missing
**/__pycache__/,python_cache,append_if_missing
