path,git_status,tracked_untracked,size_bytes,gitignored,category_guess,recommended_action
scripts/outputs/mm3_0a_event_result_coverage.csv,??,untracked,60358,False,SMALL_ARTIFACT,KEEP_AS_DOC_SUMMARY_ONLY
scripts/outputs/mm3_0a_historical_range_inventory.csv,??,untracked,63042,False,SMALL_ARTIFACT,KEEP_AS_DOC_SUMMARY_ONLY
scripts/outputs/mm3_0a_historical_range_summary.json,??,untracked,43817,False,SUMMARY,KEEP_AND_COMMIT
scripts/outputs/mm3_0a_league_coverage_120_sm.csv,??,untracked,10024,False,SMALL_ARTIFACT,KEEP_AND_COMMIT
scripts/outputs/mm3_0a_market_outcome_feasibility.csv,??,untracked,1088,False,SMALL_ARTIFACT,KEEP_AND_COMMIT
scripts/outputs/mm3_0a_market_training_candidate_matrix.csv,??,untracked,1137,False,SMALL_ARTIFACT,KEEP_AND_COMMIT
scripts/outputs/mm3_0a_odds_market_coverage.csv,??,untracked,134503,False,MEDIUM_ARTIFACT,KEEP_AS_DOC_SUMMARY_ONLY
scripts/outputs/mm3_0a_recommended_markets.json,??,untracked,1721,False,SUMMARY,KEEP_AND_COMMIT
scripts/outputs/mm3_0a_table_inventory.csv,??,untracked,1418,False,SMALL_ARTIFACT,KEEP_AND_COMMIT
scripts/outputs/mm3_1a_backfill_batches.json,??,untracked,122013,True,LARGE_ARTIFACT,DO_NOT_COMMIT
scripts/outputs/mm3_1a_big5_fixture_inventory.csv,??,untracked,644117,False,LARGE_OR_RAW,DO_NOT_COMMIT
scripts/outputs/mm3_1a_cost_estimate.json,??,untracked,7016,False,SMALL_ARTIFACT,KEEP_AND_COMMIT
scripts/outputs/mm3_1a_cost_estimate_by_policy.csv,??,untracked,611,False,SMALL_ARTIFACT,KEEP_AND_COMMIT
scripts/outputs/mm3_1a_cost_reconciliation.json,??,untracked,470,False,SMALL_ARTIFACT,KEEP_AND_COMMIT
scripts/outputs/mm3_1a_scenario_estimates.csv,??,untracked,826,False,SMALL_ARTIFACT,KEEP_AND_COMMIT
scripts/outputs/mm3_1a_snapshot_plan_rows.csv,??,untracked,60671,False,SMALL_ARTIFACT,KEEP_AS_DOC_SUMMARY_ONLY
scripts/outputs/mm3_1a_sweep_readiness.json,??,untracked,1499,False,SUMMARY,KEEP_AND_COMMIT
scripts/outputs/mm3_1a_toa_pilot_cost.json,??,untracked,166,False,SUMMARY,KEEP_AND_COMMIT
scripts/outputs/mm3_1a_toa_pilot_match_rows.csv,??,untracked,10327,False,SMALL_ARTIFACT,KEEP_AND_COMMIT
scripts/outputs/mm3_1a_toa_pilot_raw.json,??,untracked,4001587,True,LARGE_OR_RAW,DO_NOT_COMMIT
scripts/outputs/mm3_1a_toa_pilot_rejections.csv,??,untracked,23463,False,SMALL_ARTIFACT,KEEP_AND_COMMIT
scripts/outputs/mm3_1b_summary.json,??,untracked,1839,False,SUMMARY,KEEP_AND_COMMIT
scripts/outputs/mm3_1b_toa_p0_checkpoint.json,??,untracked,133482,True,CHECKPOINT,DO_NOT_COMMIT
scripts/outputs/mm3_1b_toa_p0_cost.json,??,untracked,220,False,SUMMARY,KEEP_AND_COMMIT
scripts/outputs/mm3_1b_toa_p0_market_board.json,??,untracked,577,False,SMALL_ARTIFACT,KEEP_AND_COMMIT
scripts/outputs/mm3_1b_toa_p0_market_board_rows.csv,??,untracked,122501,True,LARGE_ARTIFACT,DO_NOT_COMMIT
scripts/outputs/mm3_1b_toa_p0_match_rows.csv,??,untracked,400678,True,LARGE_ARTIFACT,DO_NOT_COMMIT
scripts/outputs/mm3_1b_toa_p0_raw.json,??,untracked,22775301,True,LARGE_OR_RAW,DO_NOT_COMMIT
scripts/outputs/mm3_1b_toa_p0_rejections.csv,??,untracked,3290362,True,LARGE_OR_RAW,DO_NOT_COMMIT
scripts/outputs/mm3_1c_coverage_by_league_year_month.csv,??,untracked,7924,False,SMALL_ARTIFACT,KEEP_AND_COMMIT
scripts/outputs/mm3_1c_kickoff_tolerance_candidates.csv,??,untracked,217625,True,MEDIUM_ARTIFACT,KEEP_AS_DOC_SUMMARY_ONLY
scripts/outputs/mm3_1c_matched_vs_full_representativeness.csv,??,untracked,748,False,SMALL_ARTIFACT,KEEP_AND_COMMIT
scripts/outputs/mm3_1c_mm3_2_readiness.json,??,untracked,457,False,SUMMARY,KEEP_AND_COMMIT
scripts/outputs/mm3_1c_rejection_detail_rows.csv,??,untracked,5799649,True,LARGE_OR_RAW,DO_NOT_COMMIT
