target_week,league_id,league_name,league_tier,n_fixtures,n_not_usable,not_usable_share,n_vp_true,n_lines_before_sum,n_lines_t60_sum,lines_survival_proxy,fixtures_sin_lineas_canonicas
2025-W02,55588,FA Cup,unknown,28,9,0.3214,19,2549,1954,0.7666,0
2025-W18,59979,Ligue 1,unknown,8,7,0.875,1,35,20,0.5714,7
2025-W16,59979,Ligue 1,unknown,9,6,0.6667,3,89,46,0.5169,6
2025-W18,64522,Copa do Brasil,unknown,16,5,0.3125,11,1219,804,0.6596,0
2025-W20,59979,Ligue 1,unknown,5,5,1.0,0,13,4,0.3077,0
2025-W21,64522,Copa do Brasil,unknown,16,4,0.25,12,1303,848,0.6508,0
2025-W16,56800,Super Lig,A,9,4,0.4444,5,722,515,0.7133,0
2025-W20,50424,Eredivisie,A,18,3,0.1667,15,1394,872,0.6255,0
2025-W20,61637,Copa Libertadores,A,16,3,0.1875,13,1313,870,0.6626,0
2025-W20,61667,Copa Sudamericana,B,16,3,0.1875,13,1253,792,0.6321,0
2025-W02,52570,Premiership,A,8,3,0.375,5,736,561,0.7622,0
2025-W21,59979,Ligue 1,unknown,3,3,1.0,0,6,0,0.0,1
2025-W16,64731,Super League,unknown,16,2,0.125,14,1312,925,0.705,0
2025-W18,59634,Premier League,unknown,14,2,0.1429,12,1048,659,0.6288,0
2025-W21,48847,UAE Pro League,unknown,14,2,0.1429,12,1160,802,0.6914,0
2025-W16,57180,1. Lig,unknown,13,2,0.1538,11,900,644,0.7156,2
2025-W20,45514,First League,unknown,12,2,0.1667,10,911,569,0.6246,0
2025-W20,56312,Pro League,unknown,11,2,0.1818,9,862,555,0.6439,0
2025-W18,57180,1. Lig,unknown,10,2,0.2,8,752,518,0.6888,1
2025-W20,57502,Premier League,unknown,10,2,0.2,8,706,436,0.6176,0
2025-W21,53391,Serie A,S,10,2,0.2,8,864,604,0.6991,0
2025-W02,56312,Pro League,unknown,9,2,0.2222,7,831,630,0.7581,0
2025-W16,51884,Ligue 1,S,9,2,0.2222,7,724,517,0.7141,0
2025-W18,54935,Premier League,unknown,9,2,0.2222,7,683,492,0.7204,0
2025-W18,56800,Super Lig,A,9,2,0.2222,7,745,514,0.6899,0
2025-W18,62246,Eliteserien,unknown,9,2,0.2222,7,752,530,0.7048,0
2025-W20,51884,Ligue 1,S,9,2,0.2222,7,692,431,0.6228,0
2025-W20,54935,Premier League,unknown,9,2,0.2222,7,674,422,0.6261,0
2025-W16,45514,First League,unknown,8,2,0.25,6,647,454,0.7017,0
2025-W16,46901,Chance Liga,unknown,8,2,0.25,6,600,425,0.7083,0
2025-W16,57742,FNL,unknown,8,2,0.25,6,244,172,0.7049,0
2025-W18,54529,Liga Portugal,A,8,2,0.25,6,662,466,0.7039,0
2025-W20,58625,Persian Gulf Pro League,unknown,8,2,0.25,6,435,233,0.5356,0
2025-W02,56618,Super League,unknown,6,2,0.3333,4,556,418,0.7518,0
2025-W16,58483,Stars League,unknown,6,2,0.3333,4,459,306,0.6667,0
2025-W20,50268,Niké Liga,unknown,6,2,0.3333,4,473,299,0.6321,0
2025-W20,59906,V-League,unknown,6,2,0.3333,4,428,254,0.5935,0
2025-W21,48423,Pro League,A,6,2,0.3333,4,502,346,0.6892,0
