target_week,fixture_id,event_id,kickoff_utc,kickoff_day_utc,kickoff_hour_utc,hour_bucket_utc,iso_week_fixture,league_id,league_name,league_tier,league_country,n_lines_before_filter,n_lines_t60,n_lines_lbu_null,value_pool,data_completeness_score,ft1x2_home_consensus,ft1x2_draw,ft1x2_away,market_coverage_keys,observable_reason
2025-W20,19416558,43266,2025-05-11T20:00:00-05:00,2025-05-12,1,00-05,2025-W20,45187,Liga MX,A,,80,51,0,True,12,1.75,3.75,4.25,FT_1X2,value_pool_true
2025-W20,19374025,41192,2025-05-11T20:20:00-05:00,2025-05-12,1,00-05,2025-W20,62494,Liga BetPlay,A,,83,57,0,True,12,2.25,2.9,3.4,FT_1X2,value_pool_true
2025-W20,19416560,43268,2025-05-11T22:10:00-05:00,2025-05-12,3,00-05,2025-W20,45187,Liga MX,A,,80,51,0,True,12,1.8,3.65,4.1,FT_1X2,value_pool_true
2025-W20,19149072,30453,2025-05-12T07:30:00-05:00,2025-05-12,12,12-17,2025-W20,54935,Premier League,unknown,,81,55,0,True,12,2.98,2.8,2.45,FT_1X2,value_pool_true
2025-W20,19416799,43349,2025-05-12T09:10:00-05:00,2025-05-12,14,12-17,2025-W20,48847,UAE Pro League,unknown,,78,49,0,True,12,2.34,3.34,2.75,FT_1X2,value_pool_true
2025-W20,19416798,43348,2025-05-12T09:10:00-05:00,2025-05-12,14,12-17,2025-W20,48847,UAE Pro League,unknown,,76,50,0,True,12,5.8,4.425000000000001,1.42,FT_1X2,value_pool_true
2025-W20,19399246,42387,2025-05-12T10:00:00-05:00,2025-05-12,15,12-17,2025-W20,51572,Superliga,unknown,,83,57,0,True,12,2.4,2.8,3.2,FT_1X2,value_pool_true
2025-W20,19173435,35395,2025-05-12T11:00:00-05:00,2025-05-12,16,12-17,2025-W20,59387,Ligue 1,unknown,,70,47,0,True,12,2.68,2.62,2.8,FT_1X2,value_pool_true
2025-W20,19173428,35388,2025-05-12T11:00:00-05:00,2025-05-12,16,12-17,2025-W20,59387,Ligue 1,unknown,,76,50,0,True,12,3.1,2.7300000000000004,2.4850000000000003,FT_1X2,value_pool_true
2025-W20,19138696,26850,2025-05-12T11:00:00-05:00,2025-05-12,16,12-17,2025-W20,50044,Premier League,unknown,,37,28,0,True,12,3.09,3.18,2.365,FT_1X2,value_pool_true
2025-W20,19413955,43072,2025-05-12T11:00:00-05:00,2025-05-12,16,12-17,2025-W20,58093,Super Liga,unknown,,80,51,0,True,12,2.05,3.3,3.25,FT_1X2,value_pool_true
2025-W20,19370400,40993,2025-05-12T11:00:00-05:00,2025-05-12,16,12-17,2025-W20,63710,Veikkausliiga,unknown,,87,64,0,True,12,2.15,3.63,2.9850000000000003,FT_1X2,value_pool_true
2025-W20,19192033,36062,2025-05-12T11:05:00-05:00,2025-05-12,16,12-17,2025-W20,56312,Pro League,unknown,,83,60,0,False,0,,9.95,15.865,,vp_false_dcs0_agregado_sin_consenso_util
2025-W20,19155426,31669,2025-05-12T11:30:00-05:00,2025-05-12,16,12-17,2025-W20,53391,Serie A,S,,87,61,0,True,12,2.75,3.05,2.77,FT_1X2,value_pool_true
2025-W20,19416800,43350,2025-05-12T12:00:00-05:00,2025-05-12,17,12-17,2025-W20,48847,UAE Pro League,unknown,,76,50,0,True,12,3.54,3.6500000000000004,1.875,FT_1X2,value_pool_true
2025-W20,19404991,42933,2025-05-12T12:00:00-05:00,2025-05-12,17,12-17,2025-W20,45484,Superliga,unknown,,87,61,0,True,12,2.02,3.5,3.6,FT_1X2,value_pool_true
2025-W20,19173429,35389,2025-05-12T12:00:00-05:00,2025-05-12,17,12-17,2025-W20,59387,Ligue 1,unknown,,76,50,0,True,12,1.9649999999999999,3.0,3.99,FT_1X2,value_pool_true
2025-W20,19172318,35165,2025-05-12T12:00:00-05:00,2025-05-12,17,12-17,2025-W20,56800,Super Lig,A,,87,61,0,True,12,1.93,3.5,3.75,FT_1X2,value_pool_true
2025-W20,19129767,22954,2025-05-12T12:00:00-05:00,2025-05-12,17,12-17,2025-W20,45841,Ekstraklasa,A,,87,64,0,True,12,2.5149999999999997,3.3,2.635,FT_1X2,value_pool_true
2025-W20,19347747,39765,2025-05-12T12:10:00-05:00,2025-05-12,17,12-17,2025-W20,61244,Allsvenskan,A,,87,61,0,True,12,2.4,3.35,2.88,FT_1X2,value_pool_true
2025-W20,19399859,42414,2025-05-12T12:30:00-05:00,2025-05-12,17,12-17,2025-W20,46453,Ligat ha'Al,unknown,,75,52,0,True,12,1.3,5.3,8.0,FT_1X2,value_pool_true
2025-W20,19399858,42413,2025-05-12T12:30:00-05:00,2025-05-12,17,12-17,2025-W20,46453,Ligat ha'Al,unknown,,75,52,0,True,12,6.76,5.125,1.315,FT_1X2,value_pool_true
2025-W20,19192034,36063,2025-05-12T13:00:00-05:00,2025-05-12,18,18-23,2025-W20,56312,Pro League,unknown,,85,62,0,True,12,5.125,4.33,1.52,FT_1X2,value_pool_true
2025-W20,19413952,43069,2025-05-12T13:00:00-05:00,2025-05-12,18,18-23,2025-W20,58093,Super Liga,unknown,,76,50,0,True,12,1.9649999999999999,3.165,3.6500000000000004,FT_1X2,value_pool_true
2025-W20,19399206,42347,2025-05-12T13:00:00-05:00,2025-05-12,18,18-23,2025-W20,51572,Superliga,unknown,,87,64,0,True,12,2.7,3.225,2.45,FT_1X2,value_pool_true
2025-W20,19145084,29831,2025-05-12T13:30:00-05:00,2025-05-12,18,18-23,2025-W20,51110,La Liga 2,B,,87,64,0,True,12,1.9049999999999998,3.165,4.5,FT_1X2,value_pool_true
2025-W20,19155417,31660,2025-05-12T13:45:00-05:00,2025-05-12,18,18-23,2025-W20,53391,Serie A,S,,87,64,0,True,12,2.005,3.5,3.6,FT_1X2,value_pool_true
2025-W20,19420617,43433,2025-05-12T14:00:00-05:00,2025-05-12,19,18-23,2025-W20,58840,Botola Pro,unknown,,72,46,0,False,0,13.475,6.63,,,vp_false_dcs0_agregado_sin_consenso_util
2025-W20,19419257,43369,2025-05-12T14:00:00-05:00,2025-05-12,19,18-23,2025-W20,47125,Championship,B,,82,59,0,True,12,1.85,3.5,4.2,FT_1X2,value_pool_true
2025-W20,19379062,41626,2025-05-12T15:30:00-05:00,2025-05-12,20,18-23,2025-W20,63220,Primera Division,unknown,,87,64,0,True,12,2.1950000000000003,3.3,2.925,FT_1X2,value_pool_true
2025-W20,19390932,42021,2025-05-12T17:00:00-05:00,2025-05-12,22,18-23,2025-W20,65838,Serie B,unknown,,85,59,0,True,12,2.15,3.1,3.4,FT_1X2,value_pool_true
2025-W20,19386977,41842,2025-05-12T18:00:00-05:00,2025-05-12,23,18-23,2025-W20,65348,Serie A,A,,87,64,0,True,12,2.38,3.0,3.375,FT_1X2,value_pool_true
