league_id,league_name,league_tier,league_country,n_fixtures,n_value_pool,n_not_usable,not_usable_rate,vp_over_n_fixtures,n_vp_false_dcs0,n_sin_lineas_canonicas_pre_t60,n_lineas_canonicas_filtradas_t60_cero,n_todas_lineas_sin_ts_o_post_t60,n_lineas_filtradas_t60_solo,n_vp_false_sin_ft1x2,n_vp_false_ft1x2_otros,lines_survival_proxy,n_lines_before_sum,n_lines_t60_sum
59979,Ligue 1,unknown,,120,41,79,0.658333,0.341667,2,59,18,0,18,0,0,0.491277,2522,1239
56312,Pro League,unknown,,189,163,26,0.137566,0.862434,25,0,1,0,1,0,0,0.71963,16307,11735
57180,1. Lig,unknown,,215,192,23,0.106977,0.893023,16,5,2,0,2,0,0,0.715396,16985,12151
56800,Super Lig,A,,187,166,21,0.112299,0.887701,21,0,0,0,0,0,0,0.723772,16204,11728
48655,Challenger Pro League,unknown,,118,100,18,0.152542,0.847458,0,14,4,0,4,0,0,0.73385,8638,6339
52570,Premiership,A,,112,95,17,0.151786,0.848214,17,0,0,0,0,0,0,0.722582,9729,7030
54529,Liga Portugal,A,,162,146,16,0.098765,0.901235,16,0,0,0,0,0,0,0.723836,14046,10167
57502,Premier League,unknown,,154,139,15,0.097403,0.902597,3,9,3,0,3,0,0,0.72064,11623,8376
46901,Chance Liga,unknown,,124,109,15,0.120968,0.879032,14,0,1,0,1,0,0,0.675844,10134,6849
64522,Copa do Brasil,unknown,,92,77,15,0.163043,0.836957,15,0,0,0,0,0,0,0.735217,7255,5334
61637,Copa Libertadores,A,,126,112,14,0.111111,0.888889,13,1,0,0,0,0,0,0.70717,10460,7397
55588,FA Cup,unknown,,63,49,14,0.222222,0.777778,14,0,0,0,0,0,0,0.750394,5717,4290
53065,Bundesliga,S,,171,158,13,0.076023,0.923977,13,0,0,0,0,0,0,0.73495,14967,11000
50424,Eredivisie,A,,157,144,13,0.082803,0.917197,13,0,0,0,0,0,0,0.723518,13632,9863
58093,Super Liga,unknown,,136,123,13,0.095588,0.904412,13,0,0,0,0,0,0,0.706049,10944,7727
56618,Super League,unknown,,124,112,12,0.096774,0.903226,10,0,2,0,2,0,0,0.724167,10742,7779
58840,Botola Pro,unknown,,112,100,12,0.107143,0.892857,10,2,0,0,0,0,0,0.702069,8992,6313
48313,La Liga,S,,199,188,11,0.055276,0.944724,11,0,0,0,0,0,0,0.724658,17422,12625
45751,Premier League,S,,192,181,11,0.057292,0.942708,11,0,0,0,0,0,0,0.727565,16793,12218
48847,UAE Pro League,unknown,,113,102,11,0.097345,0.902655,11,0,0,0,0,0,0,0.699333,9296,6501
61667,Copa Sudamericana,B,,112,101,11,0.098214,0.901786,11,0,0,0,0,0,0,0.698495,9300,6496
45514,First League,unknown,,140,130,10,0.071429,0.928571,10,0,0,0,0,0,0,0.720545,11594,8354
51884,Ligue 1,S,,170,161,9,0.052941,0.947059,9,0,0,0,0,0,0,0.730671,14900,10887
46453,Ligat ha'Al,unknown,,132,123,9,0.068182,0.931818,9,0,0,0,0,0,0,0.699614,10107,7071
63220,Primera Division,unknown,,122,113,9,0.07377,0.92623,9,0,0,0,0,0,0,0.713294,10230,7297
54935,Premier League,unknown,,106,97,9,0.084906,0.915094,9,0,0,0,0,0,0,0.7125,8400,5985
62494,Liga BetPlay,A,,201,193,8,0.039801,0.960199,2,0,6,0,6,0,0,0.679548,15397,10463
58625,Persian Gulf Pro League,unknown,,128,120,8,0.0625,0.9375,2,0,6,0,6,0,0,0.691507,8548,5911
60437,Coupe de France,unknown,,32,24,8,0.25,0.75,7,1,0,0,0,0,0,0.746997,2747,2052
50730,Eerste Divisie,unknown,,180,173,7,0.038889,0.961111,7,0,0,0,0,0,0,0.725619,15340,11131
46888,AFC Champions League Elite,unknown,,47,40,7,0.148936,0.851064,5,0,2,0,2,0,0,0.693248,3925,2721
58325,CAF Champions League,unknown,,37,30,7,0.189189,0.810811,7,0,0,0,0,0,0,0.69915,3058,2138
47125,Championship,B,,273,267,6,0.021978,0.978022,6,0,0,0,0,0,0,0.726794,23938,17398
53391,Serie A,S,,202,196,6,0.029703,0.970297,6,0,0,0,0,0,0,0.730606,17918,13091
48423,Pro League,A,,152,146,6,0.039474,0.960526,6,0,0,0,0,0,0,0.727693,13202,9607
64731,Super League,unknown,,101,95,6,0.059406,0.940594,6,0,0,0,0,0,0,0.714012,8350,5962
61753,Major League Soccer,A,,243,238,5,0.020576,0.979424,0,1,4,0,4,0,0,0.657805,19974,13139
59634,Premier League,unknown,,165,160,5,0.030303,0.969697,3,0,2,0,2,0,0,0.684841,13517,9257
64587,Primera Division,unknown,,131,126,5,0.038168,0.961832,2,0,3,0,3,0,0,0.688078,10602,7295
53671,Enterprise National League,unknown,,273,269,4,0.014652,0.985348,4,0,0,0,0,0,0,0.6928,22946,15897
45187,Liga MX,A,,170,166,4,0.023529,0.976471,4,0,0,0,0,0,0,0.730152,14964,10926
45314,1. HNL,unknown,,90,86,4,0.044444,0.955556,4,0,0,0,0,0,0,0.720637,7535,5430
62246,Eliteserien,unknown,,72,68,4,0.055556,0.944444,4,0,0,0,0,0,0,0.689021,5875,4048
59906,V-League,unknown,,104,101,3,0.028846,0.971154,3,0,0,0,0,0,0,0.67521,7725,5216
49851,NB I,unknown,,97,94,3,0.030928,0.969072,3,0,0,0,0,0,0,0.720015,8229,5925
50044,Premier League,unknown,,96,93,3,0.03125,0.96875,3,0,0,0,0,0,0,0.741316,3282,2433
50268,Niké Liga,unknown,,86,83,3,0.034884,0.965116,3,0,0,0,0,0,0,0.719068,7169,5155
58483,Stars League,unknown,,66,63,3,0.045455,0.954545,3,0,0,0,0,0,0,0.719172,5555,3995
59953,Copa Del Rey,unknown,,33,30,3,0.090909,0.909091,3,0,0,0,0,0,0,0.739348,3004,2221
47629,League One,unknown,,293,291,2,0.006826,0.993174,2,0,0,0,0,0,0,0.719225,25223,18141
52190,Ligue 2,B,,164,162,2,0.012195,0.987805,2,0,0,0,0,0,0,0.734152,14324,10516
57742,FNL,unknown,,117,115,2,0.017094,0.982906,2,0,0,0,0,0,0,0.717549,3590,2576
61244,Allsvenskan,A,,93,91,2,0.021505,0.978495,2,0,0,0,0,0,0,0.697695,7767,5419
51110,La Liga 2,B,,225,224,1,0.004444,0.995556,1,0,0,0,0,0,0,0.727343,19442,14141
55168,3. Liga,unknown,,190,189,1,0.005263,0.994737,1,0,0,0,0,0,0,0.724732,16137,11695
51572,Superliga,unknown,,147,146,1,0.006803,0.993197,1,0,0,0,0,0,0,0.729071,12638,9214
46768,Super League,unknown,,120,119,1,0.008333,0.991667,1,0,0,0,0,0,0,0.712843,10301,7343
59003,A-League Men,unknown,,116,115,1,0.008621,0.991379,1,0,0,0,0,0,0,0.717674,10077,7232
