block_id,cohort_key,n_fixtures,n_value_pool,n_not_usable,tasa_sobrevivencia_lineas,vp_over_n_fixtures,p50_lineas_before,p50_lineas_t60,dcs_0,dcs_12,dcs_json,market_top_1,market_top_1_n,market_coverage_top_json,day_from,day_to
2025-W01,A_2025_stable_high_survival,227,217,10,0.7182,0.9559,92,66,10,217,"{""0"": 10, ""12"": 217}",FT_1X2,217,"[{""market"": ""FT_1X2"", ""fixtures_with_market_coverage"": 217}]",2025-01-01,2025-01-05
2025-W02,A_2025_stable_high_survival,264,237,27,0.7521,0.8977,92.0,70.0,27,237,"{""0"": 27, ""12"": 237}",FT_1X2,237,"[{""market"": ""FT_1X2"", ""fixtures_with_market_coverage"": 237}]",2025-01-06,2025-01-12
2025-W03,A_2025_stable_high_survival,376,349,27,0.7595,0.9282,94.0,71.0,27,349,"{""0"": 27, ""12"": 349}",FT_1X2,349,"[{""market"": ""FT_1X2"", ""fixtures_with_market_coverage"": 349}]",2025-01-13,2025-01-19
2025-W04,A_2025_stable_high_survival,387,372,15,0.7453,0.9612,92,69,15,372,"{""0"": 15, ""12"": 372}",FT_1X2,372,"[{""market"": ""FT_1X2"", ""fixtures_with_market_coverage"": 372}]",2025-01-20,2025-01-26
2025-W05,A_2025_stable_high_survival,456,434,22,0.751,0.9518,92.0,70.0,22,434,"{""0"": 22, ""12"": 434}",FT_1X2,434,"[{""market"": ""FT_1X2"", ""fixtures_with_market_coverage"": 434}]",2025-01-27,2025-02-02
2025-W06,A_2025_stable_high_survival,503,468,35,0.7426,0.9304,92,69,35,468,"{""0"": 35, ""12"": 468}",FT_1X2,468,"[{""market"": ""FT_1X2"", ""fixtures_with_market_coverage"": 468}]",2025-02-03,2025-02-09
2025-W07,A_2025_stable_high_survival,526,498,28,0.7412,0.9468,92.0,69.0,28,498,"{""0"": 28, ""12"": 498}",FT_1X2,498,"[{""market"": ""FT_1X2"", ""fixtures_with_market_coverage"": 498}]",2025-02-10,2025-02-16
2025-W08,A_2025_stable_high_survival,607,576,31,0.7425,0.9489,92,69,31,576,"{""0"": 31, ""12"": 576}",FT_1X2,576,"[{""market"": ""FT_1X2"", ""fixtures_with_market_coverage"": 576}]",2025-02-17,2025-02-23
2025-W09,A_2025_stable_high_survival,622,587,35,0.7485,0.9437,89.0,68.0,35,587,"{""0"": 35, ""12"": 587}",FT_1X2,587,"[{""market"": ""FT_1X2"", ""fixtures_with_market_coverage"": 587}]",2025-02-24,2025-03-02
2025-W10,A_2025_stable_high_survival,611,581,30,0.7153,0.9509,82,58,30,581,"{""0"": 30, ""12"": 581}",FT_1X2,581,"[{""market"": ""FT_1X2"", ""fixtures_with_market_coverage"": 581}]",2025-03-03,2025-03-09
2025-W11,A_2025_stable_high_survival,598,577,21,0.7035,0.9649,81.0,58.0,21,577,"{""0"": 21, ""12"": 577}",FT_1X2,577,"[{""market"": ""FT_1X2"", ""fixtures_with_market_coverage"": 577}]",2025-03-10,2025-03-16
2025-W12,A_2025_stable_high_survival,113,107,6,0.6895,0.9469,82,56,6,107,"{""0"": 6, ""12"": 107}",FT_1X2,107,"[{""market"": ""FT_1X2"", ""fixtures_with_market_coverage"": 107}]",2025-03-17,2025-03-23
2025-W13,A_2025_stable_high_survival,502,474,28,0.6936,0.9442,81.0,57.0,28,474,"{""0"": 28, ""12"": 474}",FT_1X2,474,"[{""market"": ""FT_1X2"", ""fixtures_with_market_coverage"": 474}]",2025-03-24,2025-03-30
2025-W14,A_2025_stable_high_survival,663,632,31,0.7009,0.9532,81,58,31,632,"{""0"": 31, ""12"": 632}",FT_1X2,632,"[{""market"": ""FT_1X2"", ""fixtures_with_market_coverage"": 632}]",2025-03-31,2025-04-06
2025-W15,A_2025_stable_high_survival,627,593,34,0.6997,0.9458,82,58,34,593,"{""0"": 34, ""12"": 593}",FT_1X2,593,"[{""market"": ""FT_1X2"", ""fixtures_with_market_coverage"": 593}]",2025-04-07,2025-04-13
2025-W16,A_2025_stable_high_survival,564,524,40,0.7023,0.9291,81.0,58.0,40,524,"{""0"": 40, ""12"": 524}",FT_1X2,524,"[{""market"": ""FT_1X2"", ""fixtures_with_market_coverage"": 524}]",2025-04-14,2025-04-20
2025-W17,A_2025_stable_high_survival,667,641,26,0.6999,0.961,81,58,26,641,"{""0"": 26, ""12"": 641}",FT_1X2,641,"[{""market"": ""FT_1X2"", ""fixtures_with_market_coverage"": 641}]",2025-04-21,2025-04-27
2025-W18,A_2025_stable_high_survival,604,567,37,0.6938,0.9387,81.0,57.0,37,567,"{""0"": 37, ""12"": 567}",FT_1X2,567,"[{""market"": ""FT_1X2"", ""fixtures_with_market_coverage"": 567}]",2025-04-28,2025-05-04
2025-W19,A_2025_stable_high_survival,572,545,27,0.6884,0.9528,85.0,59.0,27,545,"{""0"": 27, ""12"": 545}",FT_1X2,545,"[{""market"": ""FT_1X2"", ""fixtures_with_market_coverage"": 545}]",2025-05-05,2025-05-11
2025-W20,A_2025_stable_high_survival,558,513,45,0.6364,0.9194,78.0,49.0,45,513,"{""0"": 45, ""12"": 513}",FT_1X2,513,"[{""market"": ""FT_1X2"", ""fixtures_with_market_coverage"": 513}]",2025-05-12,2025-05-18
2025-W21,A_2025_stable_high_survival,392,366,26,0.6868,0.9337,84.0,57.0,26,366,"{""0"": 26, ""12"": 366}",FT_1X2,366,"[{""market"": ""FT_1X2"", ""fixtures_with_market_coverage"": 366}]",2025-05-19,2025-05-25
2025-W22,A_2025_stable_high_survival,174,164,10,0.6907,0.9425,85.0,59.0,10,164,"{""0"": 10, ""12"": 164}",FT_1X2,164,"[{""market"": ""FT_1X2"", ""fixtures_with_market_coverage"": 164}]",2025-05-26,2025-05-31
