run_key,picks_total,scored,hit,miss,void,pending_result,no_evaluable,hit_rate_on_scored,roi_flat_stake_units,roi_flat_stake_pct,interpretation_tier,signal_reading_banned_4a1,small_sample_warning
shadow-subset5-backfill-2026-01,60,59,16,43,0,0,1,0.271186,-10.63,-18.016949,C_adequate_descriptive,False,False
shadow-subset5-backfill-2026-02,60,58,25,33,0,0,2,0.431034,-0.55,-0.948276,C_adequate_descriptive,False,False
shadow-subset5-backfill-2026-03,60,59,21,38,0,0,1,0.355932,-5.51,-9.338983,C_adequate_descriptive,False,False
shadow-subset5-backfill-2026-04,60,47,19,28,0,11,2,0.404255,-3.83,-8.148936,B_weak_exploratory,True,False
shadow-subset5-backfill-2025-01-05,20,19,10,9,0,0,1,0.526316,2.49,13.105263,A_inadequate,True,True
shadow-subset5-recovery-2025-07-12,20,19,9,10,0,0,1,0.473684,-0.52,-2.736842,A_inadequate,True,True
shadow-daily-2026-04-22,6,6,2,4,0,0,0,0.333333,-1.08,-18.0,A_inadequate,True,True
shadow-daily-2026-04-21,5,5,2,3,0,0,0,0.4,-0.8,-16.0,A_inadequate,True,True
shadow-daily-2026-04-27,4,1,0,1,0,3,0,0.0,-1.0,-100.0,A_inadequate,True,True
shadow-daily-2026-04-20,2,2,0,2,0,0,0,0.0,-2.0,-100.0,A_inadequate,True,True
