run_key,shadow_daily_pick_id,sm_fixture_id,bt2_event_id,kickoff_utc,league_name,home_team,away_team,market_canonical,selection_canonical,selected_team,selected_decimal_odds,implied_probability,home_odds,draw_odds,away_odds,odds_rank_of_selection,dsr_model,dsr_prompt_version,parse_status,no_pick_reason,response_excerpt,evaluation_status,result_score_text,truth_hit
shadow-dsr-native-full-20260428-214014,487,19134910,24657,2025-01-01T12:30:00-05:00,Premier League,Brentford,Arsenal,FT_1X2,away,Arsenal,1.5,0.666667,6.0,4.5,1.5,favorite,deepseek-v4-pro,bt2-dx-001-s6.2r3,ok,,[selected_team]Arsenal[/selected_team][no_pick_reason][/no_pick_reason],hit,1-3,True
shadow-dsr-native-full-20260428-214014,488,19139795,27061,2025-01-03T15:00:00-05:00,Ligue 1,Nice,Rennes,FT_1X2,home,Nice,2.325,0.430108,2.325,3.2649999999999997,3.125,favorite,deepseek-v4-pro,bt2-dx-001-s6.2r3,ok,,[selected_team]Nice[/selected_team][no_pick_reason][/no_pick_reason],hit,3-2,True
shadow-dsr-native-full-20260428-214014,489,19135367,24979,2025-01-03T15:00:00-05:00,La Liga,Valencia,Real Madrid,FT_1X2,away,Real Madrid,1.385,0.722022,7.7,4.875,1.3849999999999998,favorite,deepseek-v4-pro,bt2-dx-001-s6.2r3,ok,,[selected_team]Real Madrid[/selected_team][no_pick_reason][/no_pick_reason],hit,1-2,True
shadow-dsr-native-full-20260428-214014,490,19134927,24674,2025-01-04T07:30:00-05:00,Premier League,Tottenham Hotspur,Newcastle United,FT_1X2,away,Newcastle United,1.77,0.564972,3.85,4.5,1.77,favorite,deepseek-v4-pro,bt2-dx-001-s6.2r3,ok,,[selected_team]Newcastle United[/selected_team][no_pick_reason][/no_pick_reason],hit,1-2,True
shadow-dsr-native-full-20260428-214014,491,19134919,24666,2025-01-04T10:00:00-05:00,Premier League,AFC Bournemouth,Everton,FT_1X2,home,AFC Bournemouth,1.69,0.591716,1.69,3.87,5.025,favorite,deepseek-v4-pro,bt2-dx-001-s6.2r3,ok,,[selected_team]Bournemouth[/selected_team][no_pick_reason][/no_pick_reason],hit,1-0,True
shadow-dsr-native-full-20260428-214014,492,19134920,24667,2025-01-04T10:00:00-05:00,Premier League,Aston Villa,Leicester City,FT_1X2,home,Aston Villa,1.32,0.757576,1.32,5.7,8.5,favorite,deepseek-v4-pro,bt2-dx-001-s6.2r3,ok,,[selected_team]Aston Villa[/selected_team][no_pick_reason][/no_pick_reason],hit,2-1,True
shadow-dsr-native-full-20260428-214014,493,19139790,27056,2025-01-04T11:00:00-05:00,Ligue 1,Saint-Étienne,Reims,FT_1X2,away,Reims,2.04,0.490196,3.65,3.44,2.04,favorite,deepseek-v4-pro,bt2-dx-001-s6.2r3,ok,,[selected_team]Stade de Reims[/selected_team][no_pick_reason][/no_pick_reason],miss,3-1,False
shadow-dsr-native-full-20260428-214014,494,19139792,27058,2025-01-04T13:00:00-05:00,Ligue 1,LOSC Lille,Nantes,FT_1X2,home,LOSC Lille,1.535,0.651466,1.5350000000000001,4.17,6.5,favorite,deepseek-v4-pro,bt2-dx-001-s6.2r3,ok,,[selected_team]Lille[/selected_team][no_pick_reason][/no_pick_reason],miss,1-1,False
shadow-dsr-native-full-20260428-214014,495,19155256,31499,2025-01-04T09:00:00-05:00,Serie A,Venezia,Empoli,FT_1X2,home,Venezia,2.6,0.384615,2.6,3.0300000000000002,3.0,favorite,deepseek-v4-pro,bt2-dx-001-s6.2r3,ok,,[selected_team]Venezia[/selected_team][no_pick_reason][/no_pick_reason],miss,1-1,False
shadow-dsr-native-full-20260428-214014,496,19155249,31492,2025-01-04T12:00:00-05:00,Serie A,Fiorentina,Napoli,FT_1X2,away,Napoli,2.5,0.4,3.05,3.1,2.5,favorite,deepseek-v4-pro,bt2-dx-001-s6.2r3,ok,,[selected_team]Napoli[/selected_team][no_pick_reason][/no_pick_reason],hit,0-3,True
