source_run_key,picks_total,scored,hit,miss,void,pending_result,no_evaluable,hit_rate_on_scored,roi_flat_stake_units,roi_flat_stake_pct
shadow-daily-2026-04-20,2,2,0,2,0,0,0,0.0,-2.0,-100.0
shadow-daily-2026-04-21,4,4,2,2,0,0,0,0.5,0.2,5.0
shadow-daily-2026-04-22,3,3,1,2,0,0,0,0.333333,-0.635,-21.166667
shadow-daily-2026-04-27,4,4,1,3,0,0,0,0.25,-2.05,-51.25
shadow-subset5-backfill-2025-01-05,19,19,11,8,0,0,0,0.578947,2.005,10.552632
shadow-subset5-backfill-2026-01,54,54,28,26,0,0,0,0.518519,-3.755,-6.953704
shadow-subset5-backfill-2026-02,55,55,30,25,0,0,0,0.545455,1.065,1.936364
shadow-subset5-backfill-2026-03,56,56,31,25,0,0,0,0.553571,2.79,4.982143
shadow-subset5-backfill-2026-04,45,45,22,23,0,0,0,0.488889,-2.045,-4.544444
shadow-subset5-recovery-2025-07-12,17,17,8,9,0,0,0,0.470588,-2.915,-17.147059
