source_shadow_pick_id,home_team,away_team,consensus_FT_1X2_json,favorite_side_by_market,dsr_selection_side_canonical,favorite_benchmark_selection,same_pick_yes_no,evaluation_status_dsr,evaluation_status_baseline_non_dsr,evaluation_status_favorite,roi_dsr,roi_baseline_non_dsr,roi_favorite
149,Brentford,Arsenal,"{""away"": 1.5, ""home"": 6.0, ""draw"": 4.5}",away,away,away,yes,hit,hit,hit,0.5,0.51,0.5
157,Nice,Rennes,"{""home"": 2.325, ""away"": 3.125, ""draw"": 3.2649999999999997}",home,home,home,yes,hit,hit,hit,1.3250000000000002,1.25,1.3250000000000002
165,Valencia,Real Madrid,"{""away"": 1.3849999999999998, ""home"": 7.7, ""draw"": 4.875}",away,away,away,yes,hit,hit,hit,0.385,0.3400000000000001,0.3849999999999998
150,Tottenham Hotspur,Newcastle United,"{""away"": 1.77, ""home"": 3.85, ""draw"": 4.5}",away,away,away,yes,hit,hit,hit,0.77,0.77,0.77
151,AFC Bournemouth,Everton,"{""home"": 1.69, ""away"": 5.025, ""draw"": 3.87}",home,home,home,yes,hit,hit,hit,0.69,0.69,0.69
152,Aston Villa,Leicester City,"{""home"": 1.32, ""away"": 8.5, ""draw"": 5.7}",home,home,home,yes,hit,hit,hit,0.32000000000000006,0.33000000000000007,0.32000000000000006
158,Saint-Étienne,Reims,"{""home"": 3.65, ""away"": 2.04, ""draw"": 3.44}",away,away,away,yes,miss,hit,miss,-1.0,2.7,-1.0
159,LOSC Lille,Nantes,"{""home"": 1.5350000000000001, ""away"": 6.5, ""draw"": 4.17}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
161,Venezia,Empoli,"{""away"": 3.0, ""home"": 2.6, ""draw"": 3.0300000000000002}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
162,Fiorentina,Napoli,"{""home"": 3.05, ""away"": 2.5, ""draw"": 3.1}",away,away,away,yes,hit,miss,hit,1.5,-1.0,1.5
163,Hellas Verona,Udinese,"{""home"": 3.15, ""away"": 2.46, ""draw"": 3.0}",away,away,away,yes,miss,miss,miss,-1.0,-1.0,-1.0
164,Monza,Cagliari,"{""away"": 3.025, ""home"": 2.45, ""draw"": 3.15}",home,home,home,yes,miss,hit,miss,-1.0,2.1,-1.0
153,Borussia Dortmund,Bayer 04 Leverkusen,"{""away"": 1.94, ""home"": 3.575, ""draw"": 3.6500000000000004}",away,away,away,yes,hit,hit,hit,0.94,0.95,0.94
166,Rayo Vallecano,Celta de Vigo,"{""away"": 2.74, ""home"": 2.74, ""draw"": 3.1}",home,home,home,yes,hit,miss,hit,1.7400000000000002,-1.0,1.7400000000000002
154,TSG Hoffenheim,VfL Wolfsburg,"{""home"": 2.3600000000000003, ""away"": 2.955, ""draw"": 3.5}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
155,Heidenheim,FC Union Berlin,"{""home"": 2.85, ""away"": 2.55, ""draw"": 3.2649999999999997}",away,away,away,yes,miss,hit,miss,-1.0,1.85,-1.0
156,SC Freiburg,Holstein Kiel,"{""away"": 6.725, ""home"": 1.435, ""draw"": 4.8}",home,home,home,yes,hit,miss,hit,0.43500000000000005,-1.0,0.43500000000000005
167,Deportivo Alavés,Girona,"{""home"": 3.2, ""away"": 2.4, ""draw"": 3.075}",away,away,away,yes,hit,miss,hit,1.4,-1.0,1.4
168,Real Valladolid,Real Betis,"{""away"": 1.68, ""home"": 5.525, ""draw"": 3.625}",away,away,away,yes,miss,miss,miss,-1.0,-1.0,-1.0
169,Liverpool,AFC Bournemouth,"{""away"": 9.0, ""home"": 1.3, ""draw"": 6.25}",home,home,home,yes,hit,miss,hit,0.30000000000000004,-1.0,0.30000000000000004
177,Rennes,Olympique Marseille,"{""away"": 1.95, ""home"": 3.8, ""draw"": 3.6}",away,away,away,yes,miss,miss,miss,-1.0,-1.0,-1.0
185,Girona,Rayo Vallecano,"{""home"": 2.27, ""away"": 3.3, ""draw"": 3.225}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
186,Villarreal,Real Oviedo,"{""away"": 8.5, ""home"": 1.39, ""draw"": 4.725}",home,home,home,yes,hit,miss,hit,0.3899999999999999,-1.0,0.3899999999999999
170,Aston Villa,Newcastle United,"{""home"": 2.33, ""away"": 2.95, ""draw"": 3.54}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
171,Brighton & Hove Albion,Fulham,"{""home"": 1.875, ""away"": 4.1, ""draw"": 3.7}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
172,Sunderland,West Ham United,"{""home"": 3.45, ""away"": 2.29, ""draw"": 3.16}",away,away,away,yes,miss,hit,miss,-1.0,2.55,-1.0
180,Nice,Toulouse,"{""home"": 2.12, ""away"": 3.6, ""draw"": 3.3099999999999996}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
187,Mallorca,FC Barcelona,"{""away"": 1.355, ""home"": 8.225, ""draw"": 5.425000000000001}",away,away,away,yes,hit,hit,hit,0.355,0.3400000000000001,0.355
188,Deportivo Alavés,Levante,"{""home"": 2.13, ""away"": 3.8499999999999996, ""draw"": 3.1100000000000003}",home,home,home,yes,hit,hit,hit,1.13,1.15,1.13
174,Eintracht Frankfurt,Werder Bremen,"{""home"": 1.665, ""away"": 4.75, ""draw"": 4.3}",home,home,home,yes,hit,hit,hit,0.665,0.69,0.665
175,Heidenheim,VfL Wolfsburg,"{""home"": 2.775, ""away"": 2.51, ""draw"": 3.3899999999999997}",away,away,away,yes,hit,miss,hit,1.5099999999999998,-1.0,1.5099999999999998
176,FC Union Berlin,VfB Stuttgart,"{""home"": 3.8, ""away"": 1.935, ""draw"": 3.75}",away,away,away,yes,miss,hit,miss,-1.0,2.6,-1.0
181,Genoa,Lecce,"{""home"": 1.71, ""away"": 5.67, ""draw"": 3.45}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
182,Sassuolo,Napoli,"{""away"": 1.635, ""home"": 5.865, ""draw"": 3.775}",away,away,away,yes,hit,hit,hit,0.635,0.6000000000000001,0.635
183,AC Milan,Cremonese,"{""home"": 1.39, ""away"": 8.025, ""draw"": 4.824999999999999}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
184,Roma,Bologna,"{""home"": 2.1, ""away"": 3.76, ""draw"": 3.2}",home,home,home,yes,hit,hit,hit,1.1,1.1,1.1
266,Crystal Palace,Fulham,"{""home"": 2.2, ""away"": 3.5, ""draw"": 3.25}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
267,Liverpool,Leeds United,"{""away"": 6.0, ""home"": 1.53, ""draw"": 4.33}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
268,Brentford,Tottenham Hotspur,"{""home"": 2.3, ""away"": 3.0, ""draw"": 3.55}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
269,Sunderland,Manchester City,"{""away"": 1.41, ""home"": 7.5, ""draw"": 4.9}",away,away,away,yes,miss,miss,miss,-1.0,-1.0,-1.0
290,Toulouse,Lens,"{""away"": 2.9, ""home"": 2.49, ""draw"": 3.3}",home,home,home,yes,miss,hit,miss,-1.0,1.9,-1.0
302,Cagliari,AC Milan,"{""away"": 1.6, ""home"": 5.875, ""draw"": 3.8}",away,away,away,yes,hit,hit,hit,0.6000000000000001,0.5900000000000001,0.6000000000000001
314,Rayo Vallecano,Getafe,"{""away"": 4.65, ""home"": 2.05, ""draw"": 2.88}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
270,Aston Villa,Nottingham Forest,"{""home"": 1.87, ""away"": 4.2, ""draw"": 3.57}",home,home,home,yes,hit,hit,hit,0.8700000000000001,0.8700000000000001,0.8700000000000001
271,Brighton & Hove Albion,Burnley,"{""home"": 1.48, ""away"": 7.0, ""draw"": 4.5}",home,home,home,yes,hit,hit,hit,0.48,0.51,0.48
272,Wolverhampton Wanderers,West Ham United,"{""away"": 2.75, ""home"": 2.65, ""draw"": 3.3}",home,home,home,yes,hit,miss,hit,1.65,-1.0,1.65
273,AFC Bournemouth,Arsenal,"{""away"": 1.5, ""home"": 6.15, ""draw"": 4.5}",away,away,away,yes,hit,hit,hit,0.5,0.44999999999999996,0.5
292,Nice,Strasbourg,"{""home"": 3.2, ""away"": 2.2, ""draw"": 3.525}",away,unknown,away,no,no_evaluable,miss,miss,,-1.0,-1.0
293,LOSC Lille,Rennes,"{""home"": 1.69, ""away"": 4.8, ""draw"": 3.95}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
303,Como,Udinese,"{""home"": 1.755, ""away"": 5.0, ""draw"": 3.5599999999999996}",home,home,home,yes,hit,hit,hit,0.7549999999999999,0.77,0.7549999999999999
304,Genoa,Pisa,"{""home"": 1.95, ""away"": 4.85, ""draw"": 3.0}",home,unknown,home,no,no_evaluable,miss,miss,,-1.0,-1.0
305,Sassuolo,Parma,"{""away"": 4.199999999999999, ""home"": 2.0, ""draw"": 3.2}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
307,Atalanta,Roma,"{""away"": 3.4, ""home"": 2.3, ""draw"": 3.0}",home,unknown,home,no,no_evaluable,miss,hit,,-1.0,1.2999999999999998
315,Celta de Vigo,Valencia,"{""home"": 1.99, ""away"": 4.1, ""draw"": 3.25}",home,home,home,yes,hit,hit,hit,0.99,0.95,0.99
316,Osasuna,Athletic Club,"{""away"": 2.55, ""home"": 3.12, ""draw"": 2.95}",away,away,away,yes,miss,miss,miss,-1.0,-1.0,-1.0
317,Elche,Villarreal,"{""home"": 3.4, ""away"": 2.15, ""draw"": 3.5}",away,away,away,yes,hit,miss,hit,1.15,-1.0,1.15
318,Espanyol,FC Barcelona,"{""away"": 1.49, ""home"": 6.0, ""draw"": 4.75}",away,away,away,yes,hit,hit,hit,0.49,0.48,0.49
274,Leeds United,Manchester United,"{""home"": 2.65, ""away"": 2.65, ""draw"": 3.35}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
275,Everton,Brentford,"{""away"": 3.0, ""home"": 2.45, ""draw"": 3.15}",home,unknown,home,no,no_evaluable,hit,miss,,2.06,-1.0
276,Newcastle United,Crystal Palace,"{""away"": 5.0, ""home"": 1.67, ""draw"": 3.95}",home,home,home,yes,hit,miss,hit,0.6699999999999999,-1.0,0.6699999999999999
277,Tottenham Hotspur,Sunderland,"{""away"": 4.2, ""home"": 1.91, ""draw"": 3.4}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
295,Le Havre,Angers SCO,"{""away"": 3.5, ""home"": 2.15, ""draw"": 3.3}",home,home,home,yes,hit,miss,hit,1.15,-1.0,1.15
296,Lorient,Metz,"{""home"": 1.83, ""away"": 4.3, ""draw"": 3.6}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
297,Brest,Auxerre,"{""away"": 4.34, ""home"": 1.8849999999999998, ""draw"": 3.4}",home,home,home,yes,hit,miss,hit,0.885,-1.0,0.8849999999999998
308,Lazio,Napoli,"{""home"": 3.7, ""away"": 2.24, ""draw"": 2.975}",away,away,away,yes,hit,miss,hit,1.2400000000000002,-1.0,1.2400000000000002
309,Fiorentina,Cremonese,"{""away"": 4.875, ""home"": 1.74, ""draw"": 3.675}",home,home,home,yes,hit,miss,hit,0.74,-1.0,0.74
310,Hellas Verona,Torino,"{""home"": 2.75, ""away"": 2.9, ""draw"": 2.85}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
311,Inter,Bologna,"{""away"": 7.5, ""home"": 1.4, ""draw"": 4.775}",home,home,home,yes,hit,miss,hit,0.3999999999999999,-1.0,0.3999999999999999
319,Sevilla,Levante,"{""away"": 4.8, ""home"": 1.74, ""draw"": 3.6}",home,home,home,yes,miss,hit,miss,-1.0,4.2,-1.0
320,Real Madrid,Real Betis,"{""away"": 5.85, ""home"": 1.51, ""draw"": 4.6}",home,home,home,yes,hit,miss,hit,0.51,-1.0,0.51
321,Deportivo Alavés,Real Oviedo,"{""home"": 1.87, ""away"": 5.25, ""draw"": 3.065}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
322,Mallorca,Girona,"{""away"": 3.5, ""home"": 2.2, ""draw"": 3.15}",home,home,home,yes,miss,hit,miss,-1.0,2.6,-1.0
323,Real Sociedad,Atlético Madrid,"{""away"": 1.91, ""home"": 4.0, ""draw"": 3.6}",away,away,away,yes,miss,miss,miss,-1.0,-1.0,-1.0
312,Pisa,Como,"{""away"": 1.76, ""home"": 5.275, ""draw"": 3.4}",away,away,away,yes,hit,hit,hit,0.76,0.74,0.76
313,Lecce,Roma,"{""away"": 1.77, ""home"": 5.25, ""draw"": 3.325}",away,away,away,yes,hit,hit,hit,0.77,0.77,0.77
278,Eintracht Frankfurt,Borussia Dortmund,"{""away"": 2.04, ""home"": 3.4, ""draw"": 3.7}",away,away,away,yes,miss,miss,miss,-1.0,-1.0,-1.0
324,Getafe,Real Sociedad,"{""home"": 3.55, ""away"": 2.35, ""draw"": 2.85}",away,away,away,yes,hit,miss,hit,1.35,-1.0,1.35
279,Heidenheim,FC Köln,"{""home"": 2.745, ""away"": 2.505, ""draw"": 3.45}",away,away,away,yes,miss,miss,miss,-1.0,-1.0,-1.0
280,FC Union Berlin,FSV Mainz 05,"{""away"": 3.675, ""home"": 2.15, ""draw"": 3.125}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
281,SC Freiburg,Hamburger SV,"{""away"": 4.95, ""home"": 1.745, ""draw"": 3.6}",home,home,home,yes,hit,miss,hit,0.7450000000000001,-1.0,0.7450000000000001
282,Bayer 04 Leverkusen,VfB Stuttgart,"{""home"": 2.15, ""away"": 3.1, ""draw"": 3.8}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
325,Real Oviedo,Real Betis,"{""home"": 4.0, ""away"": 2.03, ""draw"": 3.3}",away,away,away,yes,miss,miss,miss,-1.0,-1.0,-1.0
283,Borussia Mönchengladbach,FC Augsburg,"{""away"": 4.0, ""home"": 1.91, ""draw"": 3.625}",home,home,home,yes,hit,miss,hit,0.9099999999999999,-1.0,0.9099999999999999
285,VfB Stuttgart,Eintracht Frankfurt,"{""away"": 4.75, ""home"": 1.625, ""draw"": 4.3}",home,home,home,yes,hit,miss,hit,0.625,-1.0,0.625
286,FSV Mainz 05,Heidenheim,"{""away"": 4.55, ""home"": 1.77, ""draw"": 3.75}",home,home,home,yes,hit,miss,hit,0.77,-1.0,0.77
287,Borussia Dortmund,Werder Bremen,"{""home"": 1.3650000000000002, ""away"": 7.5, ""draw"": 5.225}",home,home,home,yes,hit,hit,hit,0.365,0.3700000000000001,0.3650000000000002
288,VfL Wolfsburg,St. Pauli,"{""away"": 4.3, ""home"": 1.835, ""draw"": 3.6}",home,home,home,yes,hit,miss,hit,0.835,-1.0,0.835
299,Monaco,Lorient,"{""home"": 1.66, ""away"": 4.8, ""draw"": 4.2}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
300,Paris Saint Germain,LOSC Lille,"{""away"": 9.05, ""draw"": 6.0, ""home"": 1.3}",home,home,home,yes,hit,miss,hit,0.30000000000000004,-1.0,0.30000000000000004
301,Lens,Auxerre,"{""away"": 7.5, ""home"": 1.435, ""draw"": 4.52}",home,home,home,yes,hit,miss,hit,0.43500000000000005,-1.0,0.43500000000000005
326,Aston Villa,Brentford,"{""home"": 2.2, ""away"": 3.3, ""draw"": 3.4}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
327,Manchester United,Fulham,"{""away"": 5.4, ""home"": 1.57, ""draw"": 4.5}",home,home,home,yes,hit,miss,hit,0.5700000000000001,-1.0,0.5700000000000001
328,Nottingham Forest,Crystal Palace,"{""away"": 3.8, ""home"": 2.07, ""draw"": 3.3}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
329,Tottenham Hotspur,Manchester City,"{""away"": 1.68, ""home"": 4.9, ""draw"": 4.05}",away,away,away,yes,miss,miss,miss,-1.0,-1.0,-1.0
338,VfB Stuttgart,SC Freiburg,"{""away"": 5.0, ""home"": 1.63, ""draw"": 4.15}",home,home,home,yes,hit,miss,hit,0.6299999999999999,-1.0,0.6299999999999999
351,Nice,Brest,"{""away"": 3.3, ""home"": 2.25, ""draw"": 3.375}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
352,Toulouse,Auxerre,"{""away"": 5.0, ""home"": 1.77, ""draw"": 3.49}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
353,Angers SCO,Metz,"{""home"": 2.25, ""away"": 3.375, ""draw"": 3.25}",home,home,home,yes,hit,hit,hit,1.25,1.25,1.25
354,Strasbourg,Paris Saint Germain,"{""away"": 1.585, ""home"": 5.25, ""draw"": 4.4}",away,away,away,yes,hit,hit,hit,0.585,0.5700000000000001,0.585
362,Torino,Lecce,"{""away"": 3.965, ""home"": 2.2, ""draw"": 2.85}",home,home,home,yes,hit,miss,hit,1.2000000000000002,-1.0,1.2000000000000002
363,Como,Atalanta,"{""away"": 3.425, ""home"": 2.1950000000000003, ""draw"": 3.275}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
364,Cremonese,Inter,"{""home"": 11.0, ""draw"": 6.0, ""away"": 1.31}",away,away,away,yes,hit,miss,hit,0.31000000000000005,-1.0,0.31000000000000005
365,Parma,Juventus,"{""away"": 1.36, ""home"": 9.125, ""draw"": 4.725}",away,away,away,yes,hit,hit,hit,0.3600000000000001,0.3600000000000001,0.3600000000000001
375,Real Betis,Valencia,"{""home"": 1.87, ""away"": 4.4, ""draw"": 3.55}",home,home,home,yes,hit,hit,hit,0.8700000000000001,0.8300000000000001,0.8700000000000001
376,Getafe,Celta de Vigo,"{""away"": 2.8, ""home"": 2.95, ""draw"": 2.8}",draw,draw,draw,yes,hit,miss,hit,1.7999999999999998,-1.0,1.7999999999999998
377,Athletic Club,Real Sociedad,"{""home"": 2.2, ""away"": 3.8, ""draw"": 3.08}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
330,Sunderland,Burnley,"{""away"": 4.75, ""home"": 1.83, ""draw"": 3.4}",home,home,home,yes,hit,miss,hit,0.8300000000000001,-1.0,0.8300000000000001
366,Udinese,Roma,"{""away"": 1.98, ""home"": 4.35, ""draw"": 3.1}",away,away,away,yes,miss,miss,miss,-1.0,-1.0,-1.0
378,Mallorca,Sevilla,"{""home"": 2.7, ""away"": 2.9, ""draw"": 3.0}",home,draw,home,no,miss,hit,hit,-1.0,1.7000000000000002,1.7000000000000002
367,Bologna,AC Milan,"{""away"": 2.5, ""home"": 3.0, ""draw"": 3.1}",away,away,away,yes,hit,hit,hit,1.5,1.5,1.5
331,Leeds United,Nottingham Forest,"{""home"": 2.18, ""away"": 3.42, ""draw"": 3.34}",home,home,home,yes,hit,hit,hit,1.1800000000000002,1.19,1.1800000000000002
340,FC Union Berlin,Eintracht Frankfurt,"{""away"": 3.425, ""home"": 2.1, ""draw"": 3.5}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
355,Metz,LOSC Lille,"{""away"": 1.5350000000000001, ""home"": 6.0, ""draw"": 4.3}",away,away,away,yes,miss,miss,miss,-1.0,-1.0,-1.0
368,Hellas Verona,Pisa,"{""home"": 2.575, ""away"": 3.0, ""draw"": 3.0}",home,home,home,yes,miss,miss,miss,-1.0,-1.0,-1.0
379,Celta de Vigo,Osasuna,"{""away"": 4.15, ""home"": 1.95, ""draw"": 3.35}",home,home,home,yes,miss,hit,miss,-1.0,3.2,-1.0
332,Manchester United,Tottenham Hotspur,"{""home"": 1.61, ""away"": 5.0, ""draw"": 4.38}",home,home,home,yes,hit,hit,hit,0.6100000000000001,0.6299999999999999,0.6100000000000001
333,Arsenal,Sunderland,"{""away"": 11.0, ""draw"": 5.7, ""home"": 1.31}",home,home,home,yes,hit,hit,hit,0.31000000000000005,0.28,0.31000000000000005
334,AFC Bournemouth,Aston Villa,"{""away"": 2.35, ""home"": 2.85, ""draw"": 3.55}",away,away,away,yes,miss,miss,miss,-1.0,-1.0,-1.0
335,Burnley,West Ham United,"{""home"": 3.15, ""away"": 2.25, ""draw"": 3.5}",away,away,away,yes,hit,miss,hit,1.25,-1.0,1.25
336,Fulham,Everton,"{""away"": 3.4, ""home"": 2.2, ""draw"": 3.3}",home,home,home,yes,miss,hit,miss,-1.0,2.32,-1.0
