shadow_pick_id,source_run_key,operating_day_key,bt2_event_id,sm_fixture_id,sm_league_id,league_name,legacy_exclusion,shadow_native_exclusion,legacy_eligible,shadow_native_eligible
149,shadow-subset5-backfill-2025-01-05,2025-01-01,24657,19134910,8,Premier League,no_local_snapshot_before_t60,eligible_shadow_native,False,True
157,shadow-subset5-backfill-2025-01-05,2025-01-03,27061,19139795,301,Ligue 1,no_local_snapshot_before_t60,eligible_shadow_native,False,True
165,shadow-subset5-backfill-2025-01-05,2025-01-03,24979,19135367,564,La Liga,no_local_snapshot_before_t60,eligible_shadow_native,False,True
150,shadow-subset5-backfill-2025-01-05,2025-01-04,24674,19134927,8,Premier League,no_local_snapshot_before_t60,eligible_shadow_native,False,True
151,shadow-subset5-backfill-2025-01-05,2025-01-04,24666,19134919,8,Premier League,no_local_snapshot_before_t60,eligible_shadow_native,False,True
152,shadow-subset5-backfill-2025-01-05,2025-01-04,24667,19134920,8,Premier League,no_local_snapshot_before_t60,eligible_shadow_native,False,True
158,shadow-subset5-backfill-2025-01-05,2025-01-04,27056,19139790,301,Ligue 1,no_local_snapshot_before_t60,eligible_shadow_native,False,True
159,shadow-subset5-backfill-2025-01-05,2025-01-04,27058,19139792,301,Ligue 1,no_local_snapshot_before_t60,eligible_shadow_native,False,True
161,shadow-subset5-backfill-2025-01-05,2025-01-04,31499,19155256,384,Serie A,no_local_snapshot_before_t60,eligible_shadow_native,False,True
162,shadow-subset5-backfill-2025-01-05,2025-01-04,31492,19155249,384,Serie A,no_local_snapshot_before_t60,eligible_shadow_native,False,True
163,shadow-subset5-backfill-2025-01-05,2025-01-04,31493,19155250,384,Serie A,no_local_snapshot_before_t60,eligible_shadow_native,False,True
164,shadow-subset5-backfill-2025-01-05,2025-01-05,31496,19155253,384,Serie A,no_local_snapshot_before_t60,eligible_shadow_native,False,True
153,shadow-subset5-backfill-2025-01-05,2025-01-10,30924,19154681,82,Bundesliga,no_local_snapshot_before_t60,eligible_shadow_native,False,True
166,shadow-subset5-backfill-2025-01-05,2025-01-10,25050,19135438,564,La Liga,no_local_snapshot_before_t60,eligible_shadow_native,False,True
154,shadow-subset5-backfill-2025-01-05,2025-01-11,30925,19154682,82,Bundesliga,no_local_snapshot_before_t60,eligible_shadow_native,False,True
155,shadow-subset5-backfill-2025-01-05,2025-01-11,30926,19154683,82,Bundesliga,no_local_snapshot_before_t60,eligible_shadow_native,False,True
156,shadow-subset5-backfill-2025-01-05,2025-01-11,30927,19154684,82,Bundesliga,no_local_snapshot_before_t60,eligible_shadow_native,False,True
167,shadow-subset5-backfill-2025-01-05,2025-01-11,25046,19135434,564,La Liga,no_local_snapshot_before_t60,eligible_shadow_native,False,True
168,shadow-subset5-backfill-2025-01-05,2025-01-11,25049,19135437,564,La Liga,no_local_snapshot_before_t60,eligible_shadow_native,False,True
