date,sport,picks,events_with_picks,markets,leagues,hit,miss,pending_result,no_evaluable,void,scored,hit_rate_on_scored,roi_flat_units,roi_flat_stake_pct_on_scored
2026-03-23,football,6,4,1X2:5 | Over/Under 2.5:1,"Liga DIMAYOR, Apertura:2 | Liga F Moeve:2 | Baller League UK:1 | Serie C, Group C:1",1,2,0,1,2,3,0.333333,-0.7,-23.333333
2026-03-24,football,5,3,1X2:2 | BTTS:1 | Double Chance:1 | Over/Under 2.5:1,"UEFA Champions League, Women, Knockout stage:4 | Copa de la Liga, Group A :1",2,3,0,0,0,5,0.4,-1.483,-29.66
2026-03-25,football,6,4,1X2:4 | BTTS:1 | Over/Under 2.5:1,"Copa do Nordeste:2 | National League:2 | U19 UEFA European Championship, Elite round Gr. 3:1 | U19 UEFA European Championship, Elite round Gr. 6:1",4,2,0,0,0,6,0.666667,4.467,74.45
2026-03-25,tennis,103,71,Current set winner:1 | First set winner:22 | Match winner:80,"Bucaramanga, Colombia:11 | Morelia, Mexico:10 | Yokkaichi, Japan:9 | ITF M25 Las Vegas, NV Men:8 | Miami, USA:7 | ITF W35 San Gregorio 2 Women:5 | Sao Paulo, Brazil:5 | ITF M15 Altamura Men:4 | ITF M15 Heraklion Men:4 | ITF M15 Monastir Men:4 | ITF M15 Punta Del Este Men:4 | ITF M15 Swan Hill Men:3",56,39,3,5,0,95,0.589474,-10.711,-11.274737
2026-03-26,football,16,13,1X2:12 | BTTS:1 | Over/Under 2.5:3,"World Cup Qual. UEFA Playoffs:7 | Int. Friendly Games:4 | UEFA Nations League, Promotion/Relegation Play-offs:3 | U21 EURO, Qualification, Group C:1 | U21 EURO, Qualification, Group E:1",14,2,0,0,0,16,0.875,8.818,55.1125
2026-03-27,football,7,6,1X2:6 | Over/Under 2.5:1,"Int. Friendly Games:2 | U21 EURO, Qualification, Group F:2 | U21 EURO, Qualification, Group A:1 | U21 EURO, Qualification, Group B:1 | U21 EURO, Qualification, Group I:1",5,1,0,1,0,6,0.833333,-0.469,-7.816667
2026-03-27,tennis,18,14,Match winner:18,"ITF M15 Opatija Men:5 | ITF M25 Las Vegas, NV Men:4 | Miami, USA:2 | Morelia, Mexico:2 | Bucaramanga, Colombia:1 | ITF M15 Swan Hill Men:1 | ITF W50 Maanshan Women:1 | Sao Paulo, Brazil:1 | Yokkaichi, Japan:1",10,8,0,0,0,18,0.555556,-1.343,-7.461111
2026-03-28,football,16,13,1X2:7 | BTTS:2 | Double Chance:2 | Over/Under 2.5:3 | full_time_1x2:1 | over_under_2.5:1,"Int. Friendly Games:8 | Frauen-Bundesliga:2 | U19 UEFA European Championship, Elite round Gr. 3:2 | Copa do Nordeste:1 | Liga de Ascenso:1 | MLS Next Pro:1 | U19 UEFA European Championship, Elite round Gr. 2:1",8,5,0,3,0,13,0.615385,-0.159,-1.223077
2026-03-29,football,3,3,1X2:3,Frauen-Bundesliga:2 | Brasileirão Betano:1,2,1,0,0,0,3,0.666667,0.354,11.8
2026-03-30,football,4,4,1X2:2 | BTTS:1 | Over/Under 2.5:1,"Frauen-Bundesliga:1 | Int. Friendly Games:1 | U21 EURO, Qualification, Group C:1 | U21 Friendly Games:1",4,0,0,0,0,4,1.0,1.633,40.825
2026-03-30,tennis,4,4,Match winner:4,"Charleston, USA:2 | Houston, USA:1 | Miyazaki, Japan:1",0,4,0,0,0,4,0.0,-4.0,-100.0
2026-03-31,football,14,11,1X2:7 | BTTS:3 | Double Chance:1 | Over/Under 2.5:2 | over_under_2.5:1,"Int. Friendly Games:5 | UEFA Nations League, Promotion/Relegation Play-offs:3 | World Cup Qual. UEFA Playoffs:2 | Brasileirão Série B:1 | FIFA World Cup Qual, Inter-Confed. Playoffs:1 | U21 EURO, Qualification, Group D:1 | U21 EURO, Qualification, Group E:1",8,4,0,2,0,12,0.666667,0.762,6.35
2026-03-31,tennis,3,3,Match winner:3,"Charleston, USA:1 | Houston, USA:1 | San Luis Potosi, Mexico:1",2,1,0,0,0,3,0.666667,-0.47,-15.666667
2026-04-01,football,10,6,1X2:4 | BTTS:2 | Over/Under 2.5:4,"Brasileirão Betano:5 | Brasileirão Série B:3 | UEFA Champions League, Women, Knockout stage:2",5,2,0,3,0,7,0.714286,1.163,16.614286
2026-04-02,football,7,5,1X2:2 | BTTS:1 | Both Teams To Score:1 | Over/Under 2.5:2 | Total Goals Over/Under 2.5:1,"Brasileirão Betano:3 | LaLiga 2:2 | UEFA Champions League, Women, Knockout stage:2",3,2,0,2,0,5,0.6,-0.628,-12.56
2026-04-02,tennis,4,4,Match winner:4,"Bogota, Colombia:1 | Charleston, USA:1 | Houston, USA:1 | Sao Leopoldo, Brazil:1",0,4,0,0,0,4,0.0,-4.0,-100.0
2026-04-03,football,19,12,1X2:7 | BTTS:4 | Double Chance:1 | Full Time 1X2:1 | Over/Under 2.5:6,Championship:11 | Eerste Divisie:5 | LaLiga:2 | WWIN Liga BiH:1,7,4,2,6,0,11,0.636364,0.891,8.1
2026-04-04,football,11,7,1X2:4 | BTTS:2 | Both Teams To Score:1 | Double Chance:1 | Over/Under 2.5:1 | Over/Under 2.5 Goals:1 | full_time_1x2:1,Serie A:3 | VriendenLoterij Eredivisie:3 | Bundesliga:2 | HNL:2 | Ekstraklasa:1,6,3,0,2,0,9,0.666667,1.389,15.433333
2026-04-04,tennis,4,4,Match winner:4,"Houston, USA:2 | Bogota, Colombia:1 | Monte Carlo, Monaco, Qualifying:1",4,0,0,0,0,4,1.0,3.73,93.25
2026-04-05,football,13,10,1X2:5 | BTTS:2 | Double Chance:1 | Over/Under 2.5:4 | Total Goals Over/Under 2.5:1,Serie A:4 | LaLiga:3 | Czech First League:2 | Trendyol Süper Lig:2 | Bundesliga:1 | VriendenLoterij Eredivisie:1,6,4,0,3,0,10,0.6,1.779,17.79
2026-04-06,football,13,9,1X2:5 | BTTS:3 | Both Teams To Score:1 | Double Chance:1 | Over/Under 2.5:3,Championship:8 | Serie A:2 | Serie B:2 | League Two:1,4,9,0,0,0,13,0.307692,-6.145,-47.269231
2026-04-07,football,6,4,1X2:2 | BTTS:1 | Over/Under 2.5:3,CONCACAF Champions Cup:2 | Championship:2 | 3. Liga:1 | HNL:1,3,1,0,2,0,4,0.75,1.195,29.875
2026-04-07,tennis,4,4,Match winner:4,"Madrid, Spain:1 | Mexico City, Mexico:1 | Monte Carlo, Monaco:1 | Monza, Italy:1",3,1,0,0,0,4,0.75,0.06,1.5
