calendar_year,calendar_month,sm_league_id,league_name,tier,n_events,n_with_final_score,n_with_any_prematch_odds
2023,8,8,Premier League,S,29,29,0
2023,8,9,Championship,B,48,48,0
2023,8,12,League One,unknown,60,60,0
2023,8,14,League Two,unknown,59,59,0
2023,8,17,Enterprise National League,unknown,72,72,0
2023,8,24,FA Cup,unknown,413,411,0
2023,8,27,Carabao Cup,unknown,60,60,0
2023,8,72,Eredivisie,A,23,23,0
2023,8,74,Eerste Divisie,unknown,29,29,0
2023,8,78,KNVB Beker,unknown,30,30,0
2023,8,82,Bundesliga,S,18,18,0
2023,8,85,2. Bundesliga,B,27,27,0
2023,8,88,3. Liga,unknown,40,40,0
2023,8,109,DFB Pokal,unknown,30,30,0
2023,8,181,Admiral Bundesliga,unknown,24,24,0
2023,8,208,Pro League,A,29,29,0
2023,8,211,Challenger Pro League,unknown,23,23,0
2023,8,229,First League,unknown,30,30,0
2023,8,244,1. HNL,unknown,16,16,0
2023,8,262,Chance Liga,unknown,31,31,0
2023,8,271,Superliga,unknown,24,24,0
2023,8,274,First Division,unknown,30,30,0
2023,8,301,Ligue 1,S,27,27,0
2023,8,304,Ligue 2,B,40,40,0
2023,8,325,Super League,unknown,12,12,0
2023,8,334,NB I,unknown,22,22,0
2023,8,372,Ligat ha'Al,unknown,6,6,0
2023,8,384,Serie A,S,20,20,0
2023,8,387,Serie B,B,24,24,0
2023,8,390,Coppa Italia,unknown,20,20,0
2023,8,453,Ekstraklasa,A,33,33,0
2023,8,462,Liga Portugal,A,26,26,0
2023,8,465,Liga Portugal 2,unknown,27,27,0
2023,8,474,Superliga,unknown,28,28,0
2023,8,486,Premier League,unknown,32,32,0
2023,8,489,FNL,unknown,36,36,0
2023,8,492,Russian Cup,unknown,62,61,0
2023,8,501,Premiership,A,18,18,0
2023,8,531,Super Liga,unknown,31,31,0
2023,8,540,Niké Liga,unknown,21,21,0
2023,8,564,La Liga,S,30,30,0
2023,8,567,La Liga 2,B,33,33,0
2023,8,591,Super League,unknown,16,16,0
2023,8,600,Super Lig,A,27,27,0
2023,8,603,1. Lig,unknown,27,27,0
2023,8,609,Premier League,unknown,29,29,0
2023,8,743,Liga MX,A,26,26,0
2023,8,806,Premier League,unknown,40,40,0
2023,8,860,Botola Pro,unknown,8,8,0
2023,8,902,Persian Gulf Pro League,unknown,31,31,0
2023,8,938,Stars League,unknown,12,12,0
2023,8,944,Pro League,unknown,36,36,0
2023,8,959,UAE Pro League,unknown,14,14,0
2023,8,1085,AFC Champions League Elite,unknown,13,13,0
2023,8,1088,AFC Champions League Two,unknown,13,13,0
2023,8,1107,CAF Champions League,unknown,44,42,0
2023,8,1658,Copa de la Superliga,unknown,27,27,0
2023,9,8,Premier League,S,38,38,0
2023,9,9,Championship,B,59,59,0
2023,9,12,League One,unknown,53,53,0
2023,9,14,League Two,unknown,59,59,0
2023,9,17,Enterprise National League,unknown,84,84,0
2023,9,24,FA Cup,unknown,270,270,0
2023,9,27,Carabao Cup,unknown,16,16,0
2023,9,72,Eredivisie,A,34,34,0
2023,9,74,Eerste Divisie,unknown,47,47,0
2023,9,78,KNVB Beker,unknown,21,21,0
2023,9,82,Bundesliga,S,34,34,0
2023,9,85,2. Bundesliga,B,33,33,0
2023,9,88,3. Liga,unknown,38,38,0
2023,9,109,DFB Pokal,unknown,2,2,0
2023,9,181,Admiral Bundesliga,unknown,21,21,0
2023,9,208,Pro League,A,31,31,0
2023,9,211,Challenger Pro League,unknown,29,29,0
2023,9,229,First League,unknown,34,34,0
2023,9,244,1. HNL,unknown,17,17,0
2023,9,262,Chance Liga,unknown,29,29,0
2023,9,271,Superliga,unknown,19,19,0
2023,9,274,First Division,unknown,21,21,0
2023,9,301,Ligue 1,S,30,30,0
2023,9,304,Ligue 2,B,47,47,0
2023,9,325,Super League,unknown,28,28,0
2023,9,334,NB I,unknown,18,18,0
2023,9,372,Ligat ha'Al,unknown,26,26,0
2023,9,384,Serie A,S,43,43,0
2023,9,387,Serie B,B,45,45,0
2023,9,453,Ekstraklasa,A,34,34,0
2023,9,462,Liga Portugal,A,33,33,0
2023,9,465,Liga Portugal 2,unknown,21,21,0
2023,9,468,Taça De Portugal,unknown,82,82,0
2023,9,474,Superliga,unknown,28,28,0
2023,9,486,Premier League,unknown,29,29,0
2023,9,489,FNL,unknown,36,36,0
2023,9,492,Russian Cup,unknown,38,38,0
2023,9,501,Premiership,A,24,24,0
2023,9,531,Super Liga,unknown,26,26,0
2023,9,540,Niké Liga,unknown,23,23,0
2023,9,564,La Liga,S,44,44,0
2023,9,567,La Liga 2,B,49,49,0
2023,9,591,Super League,unknown,21,21,0
2023,9,600,Super Lig,A,37,37,0
2023,9,603,1. Lig,unknown,31,31,0
