source,calendar_year,sm_league_id,league_name,tier,n_events,earliest_kickoff,latest_kickoff,n_with_final_score,n_with_any_prematch_odds
bt2_events,2023,8,Premier League,S,196,2023-08-11 14:00:00-05:00,2023-12-31 09:00:00-05:00,196,0
bt2_events,2023,9,Championship,B,300,2023-08-04 14:00:00-05:00,2023-12-29 15:15:00-05:00,300,0
bt2_events,2023,12,League One,unknown,284,2023-08-05 09:00:00-05:00,2023-12-29 14:45:00-05:00,284,0
bt2_events,2023,14,League Two,unknown,290,2023-08-05 09:00:00-05:00,2023-12-29 14:45:00-05:00,290,0
bt2_events,2023,17,Enterprise National League,unknown,304,2023-08-05 09:00:00-05:00,2023-12-30 10:00:00-05:00,304,0
bt2_events,2023,24,FA Cup,unknown,803,2023-08-04 13:45:00-05:00,2023-12-19 14:45:00-05:00,801,0
bt2_events,2023,27,Carabao Cup,unknown,88,2023-08-08 13:00:00-05:00,2023-12-20 15:00:00-05:00,88,0
bt2_events,2023,72,Eredivisie,A,144,2023-08-11 13:00:00-05:00,2023-12-17 14:00:00-05:00,144,0
bt2_events,2023,74,Eerste Divisie,unknown,199,2023-08-11 13:00:00-05:00,2023-12-23 15:00:00-05:00,199,0
bt2_events,2023,78,KNVB Beker,unknown,93,2023-08-12 07:30:00-05:00,2023-12-21 14:00:00-05:00,93,0
bt2_events,2023,82,Bundesliga,S,143,2023-08-18 13:30:00-05:00,2023-12-20 14:30:00-05:00,143,0
bt2_events,2023,85,2. Bundesliga,B,144,2023-08-04 11:30:00-05:00,2023-12-17 07:30:00-05:00,144,0
bt2_events,2023,88,3. Liga,unknown,197,2023-08-04 12:15:00-05:00,2023-12-20 13:00:00-05:00,197,0
bt2_events,2023,109,DFB Pokal,unknown,56,2023-08-11 11:00:00-05:00,2023-12-06 14:45:00-05:00,56,0
bt2_events,2023,181,Admiral Bundesliga,unknown,96,2023-08-05 10:00:00-05:00,2023-12-10 11:00:00-05:00,96,0
bt2_events,2023,208,Pro League,A,152,2023-08-04 13:45:00-05:00,2023-12-27 14:45:00-05:00,152,0
bt2_events,2023,211,Challenger Pro League,unknown,128,2023-08-11 13:00:00-05:00,2023-12-17 13:15:00-05:00,128,0
bt2_events,2023,229,First League,unknown,138,2023-08-04 11:00:00-05:00,2023-12-14 10:30:00-05:00,138,0
bt2_events,2023,244,1. HNL,unknown,82,2023-08-04 13:00:00-05:00,2023-12-17 11:15:00-05:00,82,0
bt2_events,2023,262,Chance Liga,unknown,132,2023-08-05 08:00:00-05:00,2023-12-17 12:00:00-05:00,132,0
bt2_events,2023,271,Superliga,unknown,90,2023-08-04 12:00:00-05:00,2023-12-04 13:00:00-05:00,90,0
bt2_events,2023,274,First Division,unknown,96,2023-08-04 12:00:00-05:00,2023-12-05 12:30:00-05:00,96,0
bt2_events,2023,301,Ligue 1,S,153,2023-08-11 14:00:00-05:00,2023-12-20 15:00:00-05:00,153,0
bt2_events,2023,304,Ligue 2,B,190,2023-08-05 08:00:00-05:00,2023-12-19 14:45:00-05:00,190,0
bt2_events,2023,307,Coupe de France,unknown,134,2023-11-17 13:00:00-05:00,2023-12-16 12:00:00-05:00,134,0
bt2_events,2023,325,Super League,unknown,105,2023-08-18 13:00:00-05:00,2023-12-21 13:30:00-05:00,105,0
bt2_events,2023,334,NB I,unknown,97,2023-08-04 13:00:00-05:00,2023-12-17 12:00:00-05:00,97,0
bt2_events,2023,372,Ligat ha'Al,unknown,90,2023-08-26 11:00:00-05:00,2023-12-31 13:30:00-05:00,90,0
bt2_events,2023,384,Serie A,S,180,2023-08-19 11:30:00-05:00,2023-12-30 14:45:00-05:00,180,0
bt2_events,2023,387,Serie B,B,190,2023-08-18 13:30:00-05:00,2023-12-26 14:30:00-05:00,190,0
bt2_events,2023,390,Coppa Italia,unknown,32,2023-08-05 11:00:00-05:00,2023-12-20 15:00:00-05:00,32,0
bt2_events,2023,453,Ekstraklasa,A,152,2023-08-04 11:00:00-05:00,2023-12-20 13:00:00-05:00,152,0
bt2_events,2023,462,Liga Portugal,A,135,2023-08-11 14:15:00-05:00,2023-12-30 15:30:00-05:00,135,0
bt2_events,2023,465,Liga Portugal 2,unknown,136,2023-08-12 05:00:00-05:00,2023-12-31 06:00:00-05:00,136,0
bt2_events,2023,468,Taça De Portugal,unknown,130,2023-09-08 11:00:00-05:00,2023-11-26 15:00:00-05:00,130,0
bt2_events,2023,474,Superliga,unknown,144,2023-08-04 10:30:00-05:00,2023-12-22 13:30:00-05:00,144,0
bt2_events,2023,486,Premier League,unknown,128,2023-08-04 12:00:00-05:00,2023-12-10 11:45:00-05:00,128,0
bt2_events,2023,489,FNL,unknown,153,2023-08-05 08:00:00-05:00,2023-11-27 11:30:00-05:00,153,0
bt2_events,2023,492,Russian Cup,unknown,132,2023-08-01 11:30:00-05:00,2023-11-29 10:15:00-05:00,131,0
bt2_events,2023,501,Premiership,A,117,2023-08-05 06:30:00-05:00,2023-12-30 10:00:00-05:00,117,0
bt2_events,2023,531,Super Liga,unknown,144,2023-08-03 10:55:00-05:00,2023-12-22 11:00:00-05:00,144,0
bt2_events,2023,540,Niké Liga,unknown,102,2023-08-04 13:30:00-05:00,2023-12-17 11:30:00-05:00,102,0
bt2_events,2023,564,La Liga,S,180,2023-08-11 12:30:00-05:00,2023-12-23 10:15:00-05:00,180,0
bt2_events,2023,567,La Liga 2,B,231,2023-08-11 12:00:00-05:00,2023-12-21 15:30:00-05:00,231,0
bt2_events,2023,570,Copa Del Rey,unknown,93,2023-10-11 12:30:00-05:00,2023-12-07 15:00:00-05:00,93,0
bt2_events,2023,591,Super League,unknown,96,2023-08-05 11:00:00-05:00,2023-12-17 10:30:00-05:00,96,0
bt2_events,2023,600,Super Lig,A,170,2023-08-11 13:00:00-05:00,2023-12-25 12:00:00-05:00,170,0
bt2_events,2023,603,1. Lig,unknown,153,2023-08-11 13:00:00-05:00,2023-12-25 12:00:00-05:00,153,0
