bt2_league_id,sm_league_id,league_name,tier,is_active,n_events_total,n_with_final_score,n_with_any_prematch_odds,first_kickoff,last_kickoff
55588,24,FA Cup,unknown,False,1751,1749,0,2023-08-04 13:45:00-05:00,2025-05-17 10:30:00-05:00
47125,9,Championship,B,True,1152,1116,18,2023-08-04 14:00:00-05:00,2026-04-22 13:45:00-05:00
47629,12,League One,unknown,False,1114,1114,0,2023-08-05 09:00:00-05:00,2025-05-25 07:01:00-05:00
47905,14,League Two,unknown,False,1114,1114,0,2023-08-05 09:00:00-05:00,2025-05-26 09:01:00-05:00
53671,17,Enterprise National League,unknown,False,1113,1112,0,2023-08-05 09:00:00-05:00,2025-05-21 13:45:00-05:00
51110,567,La Liga 2,B,True,944,923,11,2023-08-11 12:00:00-05:00,2026-04-20 13:30:00-05:00
53065,82,Bundesliga,S,True,837,622,99,2023-08-18 13:30:00-05:00,2026-04-19 12:30:00-05:00
61753,779,Major League Soccer,A,True,800,767,22,2024-02-21 20:00:00-05:00,2026-04-22 18:30:00-05:00
55932,387,Serie B,B,True,798,778,11,2023-08-18 13:30:00-05:00,2026-04-19 12:30:00-05:00
45751,8,Premier League,S,True,783,775,22,2023-08-11 14:00:00-05:00,2026-04-22 14:00:00-05:00
53391,384,Serie A,S,True,780,773,18,2023-08-19 11:30:00-05:00,2026-04-20 13:45:00-05:00
48313,564,La Liga,S,True,777,765,13,2023-08-11 12:30:00-05:00,2026-04-22 14:30:00-05:00
50730,74,Eerste Divisie,unknown,False,760,760,0,2023-08-11 13:00:00-05:00,2025-05-09 13:00:00-05:00
55168,88,3. Liga,unknown,False,760,760,0,2023-08-04 12:15:00-05:00,2025-05-17 06:30:00-05:00
56800,600,Super Lig,A,True,739,725,12,2023-08-11 13:00:00-05:00,2026-04-20 12:00:00-05:00
52190,304,Ligue 2,B,True,708,691,9,2023-08-05 08:00:00-05:00,2026-04-20 13:45:00-05:00
57180,603,1. Lig,unknown,False,696,696,0,2023-08-11 13:00:00-05:00,2025-05-29 12:00:00-05:00
45187,743,Liga MX,A,True,676,655,8,2023-08-18 20:06:00-05:00,2026-04-21 22:06:00-05:00
62758,636,Liga Profesional de Fútbol,A,True,663,643,23,2024-04-28 13:30:00-05:00,2026-04-20 19:45:00-05:00
62494,672,Liga BetPlay,A,True,652,635,9,2024-01-19 18:00:00-05:00,2026-04-22 18:20:00-05:00
48423,208,Pro League,A,True,638,618,11,2023-08-04 13:45:00-05:00,2026-04-22 13:30:00-05:00
54529,462,Liga Portugal,A,True,630,615,11,2023-08-11 14:15:00-05:00,2026-04-20 14:15:00-05:00
51884,301,Ligue 1,S,True,629,623,16,2023-08-11 14:00:00-05:00,2026-04-22 12:00:00-05:00
50424,72,Eredivisie,A,True,628,618,10,2023-08-11 13:00:00-05:00,2026-04-22 13:00:00-05:00
52768,85,2. Bundesliga,B,True,621,603,9,2023-08-04 11:30:00-05:00,2026-04-19 06:30:00-05:00
45841,453,Ekstraklasa,A,True,614,598,10,2023-08-04 11:00:00-05:00,2026-04-20 12:00:00-05:00
54223,465,Liga Portugal 2,unknown,False,612,612,0,2023-08-12 05:00:00-05:00,2025-05-17 08:00:00-05:00
56312,944,Pro League,unknown,False,612,612,0,2023-08-11 13:00:00-05:00,2025-05-26 13:00:00-05:00
51572,474,Superliga,unknown,False,608,608,0,2023-08-04 10:30:00-05:00,2025-05-24 13:00:00-05:00
57742,489,FNL,unknown,False,585,585,0,2023-08-05 08:00:00-05:00,2025-05-24 05:00:00-05:00
58093,531,Super Liga,unknown,False,584,584,0,2023-08-03 10:55:00-05:00,2025-05-25 12:00:00-05:00
62684,968,J1 League,A,True,566,566,0,2024-02-23 00:00:00-05:00,2025-05-31 05:00:00-05:00
45514,229,First League,unknown,False,554,554,0,2023-08-04 11:00:00-05:00,2025-05-26 12:45:00-05:00
