calendar_year,sm_league_id,league_name,market,n_odds_rows,n_distinct_events_with_row,n_bookmakers,min_fetched_at,max_fetched_at,n_rows_prematch_vs_kickoff,n_events_any_prematch_row_for_this_market
2023,8,Premier League,Fulltime Result,588,196,15,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,8,Premier League,Full Time Result,588,196,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,8,Premier League,Match Winner,588,196,17,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,8,Premier League,Goals Over/Under,392,196,17,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,9,Championship,Match Winner,900,300,18,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,9,Championship,Full Time Result,900,300,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,9,Championship,Fulltime Result,900,300,17,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,9,Championship,Goals Over/Under,600,300,15,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,12,League One,Full Time Result,852,284,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,12,League One,Fulltime Result,852,284,17,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,12,League One,Match Winner,852,284,15,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,12,League One,Goals Over/Under,568,284,15,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,14,League Two,Match Winner,870,290,16,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,14,League Two,Full Time Result,870,290,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,14,League Two,Fulltime Result,870,290,14,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,14,League Two,Goals Over/Under,580,290,16,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,17,Enterprise National League,Fulltime Result,912,304,15,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,17,Enterprise National League,Match Winner,912,304,16,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,17,Enterprise National League,Full Time Result,909,303,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,17,Enterprise National League,Goals Over/Under,608,304,17,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,24,FA Cup,Fulltime Result,738,246,22,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,24,FA Cup,Full Time Result,705,235,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,24,FA Cup,Match Winner,621,207,17,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,24,FA Cup,Goals Over/Under,484,242,18,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,27,Carabao Cup,Fulltime Result,264,88,16,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,27,Carabao Cup,Full Time Result,264,88,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,27,Carabao Cup,Match Winner,264,88,18,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,27,Carabao Cup,Goals Over/Under,176,88,16,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,72,Eredivisie,Match Winner,432,144,17,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,72,Eredivisie,Full Time Result,432,144,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,72,Eredivisie,Fulltime Result,432,144,14,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,72,Eredivisie,Goals Over/Under,288,144,16,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,74,Eerste Divisie,Full Time Result,597,199,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,74,Eerste Divisie,Fulltime Result,597,199,15,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,74,Eerste Divisie,Match Winner,597,199,15,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,74,Eerste Divisie,Goals Over/Under,398,199,17,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,78,KNVB Beker,Match Winner,195,65,16,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,78,KNVB Beker,Fulltime Result,192,64,20,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,78,KNVB Beker,Full Time Result,186,62,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
