schema_name,table_name,row_estimate,total_bytes,column_count
public,raw_sportmonks_fixtures,0,8989540352,8
public,bt2_odds_snapshot,0,133242880,7
public,bt2_events,0,13213696,13
public,bt2_teams,0,819200,5
public,bt2_shadow_pick_inputs,0,811008,5
public,bt2_shadow_daily_picks,0,770048,22
public,bt2_leagues,0,720896,6
public,bt2_shadow_provider_snapshots,0,499712,13
public,bt2_provider_odds_snapshot,0,425984,9
public,bt2_shadow_pick_eval,0,368640,14
public,bt2_daily_picks,0,278528,21
public,bt2_pool_eligibility_audit,0,270336,7
public,bt2_pick_official_evaluation,0,163840,14
public,bt2_sfs_join_audit,0,114688,8
public,bt2_shadow_runs,0,98304,11
public,bt2_operating_sessions,0,90112,7
public,bt2_users,0,65536,8
public,bt2_vault_day_metadata,0,65536,12
public,bt2_picks,0,57344,19
public,bt2_vault_standard_unlocks,0,57344,5
public,bt2_bankroll_snapshots,0,40960,7
public,bt2_dp_ledger,0,40960,7
public,bt2_user_diagnostics,0,40960,6
public,raw_theoddsapi_snapshots,0,40960,8
public,alembic_version,0,24576,1
public,bt2_dsr_ds_input_shadow,0,24576,5
public,bt2_sfs_event_override,0,24576,5
public,bt2_user_settings,0,24576,5
public,bt2_vault_pick_commitment,0,24576,6
public,bt2_vault_premium_unlocks,0,24576,5
public,bt2_behavioral_blocks,0,16384,6
public,bt2_event_identity_map,0,16384,9
public,bt2_nonprod_sm_fixture_observation_s64,0,16384,9
public,bt2_sessions,0,16384,6
