snapshot_policy,toa_sport_key,local_kickoff_date,n_events_kickoff_this_local_day,n_distinct_snapshot_requests,n_markets,n_regions,estimated_requests,estimated_credits
t60,soccer_epl,2023-08-11,1,1,2,1,1,20
t60,soccer_france_ligue_one,2023-08-11,1,1,2,1,1,20
t60,soccer_spain_la_liga,2023-08-11,2,2,2,1,2,40
t60,soccer_epl,2023-08-12,6,3,2,1,3,60
t60,soccer_france_ligue_one,2023-08-12,2,2,2,1,2,40
t60,soccer_spain_la_liga,2023-08-12,3,3,2,1,3,60
t60,soccer_epl,2023-08-13,2,2,2,1,2,40
t60,soccer_france_ligue_one,2023-08-13,6,4,2,1,4,80
t60,soccer_spain_la_liga,2023-08-13,3,3,2,1,3,60
t60,soccer_epl,2023-08-14,1,1,2,1,1,20
t60,soccer_spain_la_liga,2023-08-14,2,2,2,1,2,40
t60,soccer_epl,2023-08-18,1,1,2,1,1,20
t60,soccer_france_ligue_one,2023-08-18,1,1,2,1,1,20
t60,soccer_germany_bundesliga,2023-08-18,1,1,2,1,1,20
t60,soccer_spain_la_liga,2023-08-18,2,2,2,1,2,40
t60,soccer_epl,2023-08-19,5,3,2,1,3,60
t60,soccer_france_ligue_one,2023-08-19,2,2,2,1,2,40
t60,soccer_germany_bundesliga,2023-08-19,6,2,2,1,2,40
t60,soccer_italy_serie_a,2023-08-19,4,2,2,1,2,40
t60,soccer_spain_la_liga,2023-08-19,3,3,2,1,3,60
t60,soccer_epl,2023-08-20,2,2,2,1,2,40
t60,soccer_france_ligue_one,2023-08-20,6,4,2,1,4,80
t60,soccer_germany_bundesliga,2023-08-20,2,2,2,1,2,40
t60,soccer_italy_serie_a,2023-08-20,4,2,2,1,2,40
t60,soccer_spain_la_liga,2023-08-20,3,3,2,1,3,60
t60,soccer_epl,2023-08-21,1,1,2,1,1,20
t60,soccer_italy_serie_a,2023-08-21,2,2,2,1,2,40
t60,soccer_spain_la_liga,2023-08-21,2,2,2,1,2,40
t60,soccer_epl,2023-08-25,1,1,2,1,1,20
t60,soccer_france_ligue_one,2023-08-25,1,1,2,1,1,20
t60,soccer_germany_bundesliga,2023-08-25,1,1,2,1,1,20
t60,soccer_spain_la_liga,2023-08-25,2,2,2,1,2,40
t60,soccer_epl,2023-08-26,6,3,2,1,3,60
t60,soccer_france_ligue_one,2023-08-26,2,2,2,1,2,40
t60,soccer_germany_bundesliga,2023-08-26,6,2,2,1,2,40
t60,soccer_italy_serie_a,2023-08-26,4,2,2,1,2,40
t60,soccer_spain_la_liga,2023-08-26,3,3,2,1,3,60
t60,soccer_epl,2023-08-27,3,2,2,1,2,40
t60,soccer_france_ligue_one,2023-08-27,6,4,2,1,4,80
t60,soccer_germany_bundesliga,2023-08-27,2,2,2,1,2,40
t60,soccer_italy_serie_a,2023-08-27,4,2,2,1,2,40
t60,soccer_spain_la_liga,2023-08-27,3,3,2,1,3,60
t60,soccer_italy_serie_a,2023-08-28,2,2,2,1,2,40
t60,soccer_spain_la_liga,2023-08-28,2,2,2,1,2,40
t60,soccer_epl,2023-09-01,1,1,2,1,1,20
t60,soccer_france_ligue_one,2023-09-01,1,1,2,1,1,20
t60,soccer_germany_bundesliga,2023-09-01,1,1,2,1,1,20
t60,soccer_italy_serie_a,2023-09-01,2,2,2,1,2,40
t60,soccer_spain_la_liga,2023-09-01,2,2,2,1,2,40
t60,soccer_epl,2023-09-02,6,3,2,1,3,60
t60,soccer_france_ligue_one,2023-09-02,2,2,2,1,2,40
t60,soccer_germany_bundesliga,2023-09-02,6,2,2,1,2,40
t60,soccer_italy_serie_a,2023-09-02,4,2,2,1,2,40
t60,soccer_spain_la_liga,2023-09-02,4,4,2,1,4,80
t60,soccer_epl,2023-09-03,3,2,2,1,2,40
t60,soccer_france_ligue_one,2023-09-03,6,4,2,1,4,80
t60,soccer_germany_bundesliga,2023-09-03,2,2,2,1,2,40
t60,soccer_italy_serie_a,2023-09-03,4,2,2,1,2,40
t60,soccer_spain_la_liga,2023-09-03,3,3,2,1,3,60
t60,soccer_france_ligue_one,2023-09-15,1,1,2,1,1,20
t60,soccer_germany_bundesliga,2023-09-15,1,1,2,1,1,20
t60,soccer_spain_la_liga,2023-09-15,1,1,2,1,1,20
t60,soccer_epl,2023-09-16,7,3,2,1,3,60
t60,soccer_france_ligue_one,2023-09-16,2,2,2,1,2,40
t60,soccer_germany_bundesliga,2023-09-16,6,2,2,1,2,40
t60,soccer_italy_serie_a,2023-09-16,3,3,2,1,3,60
t60,soccer_spain_la_liga,2023-09-16,4,4,2,1,4,80
t60,soccer_epl,2023-09-17,2,2,2,1,2,40
t60,soccer_france_ligue_one,2023-09-17,6,4,2,1,4,80
t60,soccer_germany_bundesliga,2023-09-17,2,2,2,1,2,40
t60,soccer_italy_serie_a,2023-09-17,5,4,2,1,4,80
t60,soccer_spain_la_liga,2023-09-17,4,4,2,1,4,80
t60,soccer_epl,2023-09-18,1,1,2,1,1,20
t60,soccer_italy_serie_a,2023-09-18,2,2,2,1,2,40
t60,soccer_spain_la_liga,2023-09-18,1,1,2,1,1,20
t60,soccer_france_ligue_one,2023-09-22,1,1,2,1,1,20
t60,soccer_germany_bundesliga,2023-09-22,1,1,2,1,1,20
t60,soccer_italy_serie_a,2023-09-22,2,2,2,1,2,40
t60,soccer_spain_la_liga,2023-09-22,1,1,2,1,1,20
t60,soccer_epl,2023-09-23,5,3,2,1,3,60
t60,soccer_france_ligue_one,2023-09-23,2,2,2,1,2,40
