bt2_event_id,toa_event_id,sport_key,kickoff_bt2_utc,commence_toa,home_bt2,away_bt2,home_toa,away_toa,match_score
826,bf0182d3f58394917fe1d87dd5d46fb0,soccer_epl,2023-09-30T09:00:00-05:00,2023-09-30T14:00:00Z,Newcastle United,Burnley,Newcastle United,Burnley,2.0
825,2ffa0cbab18cafdc6ec18e225b27fc18,soccer_epl,2023-09-30T09:00:00-05:00,2023-09-30T14:00:00Z,Manchester United,Crystal Palace,Manchester United,Crystal Palace,2.0
830,822f82f91ad92eb7dc3667ef2625bc16,soccer_epl,2023-09-30T09:00:00-05:00,2023-09-30T14:00:00Z,Wolverhampton Wanderers,Manchester City,Wolverhampton Wanderers,Manchester City,2.0
829,c1d930d000d60dec48b06ccd2ce5a9d7,soccer_epl,2023-09-30T09:00:00-05:00,2023-09-30T14:00:00Z,West Ham United,Sheffield United,West Ham United,Sheffield United,2.0
828,37aed7a71cd72642860be7e3947000ea,soccer_epl,2023-09-30T11:30:00-05:00,2023-09-30T16:30:00Z,Tottenham Hotspur,Liverpool,Tottenham Hotspur,Liverpool,2.0
826,bf0182d3f58394917fe1d87dd5d46fb0,soccer_epl,2023-09-30T09:00:00-05:00,2023-09-30T14:00:00Z,Newcastle United,Burnley,Newcastle United,Burnley,2.0
825,2ffa0cbab18cafdc6ec18e225b27fc18,soccer_epl,2023-09-30T09:00:00-05:00,2023-09-30T14:00:00Z,Manchester United,Crystal Palace,Manchester United,Crystal Palace,2.0
830,822f82f91ad92eb7dc3667ef2625bc16,soccer_epl,2023-09-30T09:00:00-05:00,2023-09-30T14:00:00Z,Wolverhampton Wanderers,Manchester City,Wolverhampton Wanderers,Manchester City,2.0
829,c1d930d000d60dec48b06ccd2ce5a9d7,soccer_epl,2023-09-30T09:00:00-05:00,2023-09-30T14:00:00Z,West Ham United,Sheffield United,West Ham United,Sheffield United,2.0
828,37aed7a71cd72642860be7e3947000ea,soccer_epl,2023-09-30T11:30:00-05:00,2023-09-30T16:30:00Z,Tottenham Hotspur,Liverpool,Tottenham Hotspur,Liverpool,2.0
830,822f82f91ad92eb7dc3667ef2625bc16,soccer_epl,2023-09-30T09:00:00-05:00,2023-09-30T14:00:16Z,Wolverhampton Wanderers,Manchester City,Wolverhampton Wanderers,Manchester City,1.9956
825,2ffa0cbab18cafdc6ec18e225b27fc18,soccer_epl,2023-09-30T09:00:00-05:00,2023-09-30T14:00:22Z,Manchester United,Crystal Palace,Manchester United,Crystal Palace,1.9939
829,c1d930d000d60dec48b06ccd2ce5a9d7,soccer_epl,2023-09-30T09:00:00-05:00,2023-09-30T14:00:37Z,West Ham United,Sheffield United,West Ham United,Sheffield United,1.9897
826,bf0182d3f58394917fe1d87dd5d46fb0,soccer_epl,2023-09-30T09:00:00-05:00,2023-09-30T14:00:58Z,Newcastle United,Burnley,Newcastle United,Burnley,1.9839
828,37aed7a71cd72642860be7e3947000ea,soccer_epl,2023-09-30T11:30:00-05:00,2023-09-30T16:30:00Z,Tottenham Hotspur,Liverpool,Tottenham Hotspur,Liverpool,2.0
845,4026494a30d50d6e544312b4110353da,soccer_epl,2023-10-21T06:30:00-05:00,2023-10-21T11:30:00Z,Liverpool,Everton,Liverpool,Everton,2.0
843,268cf4f91bfda0b9cac2a5236af1eead,soccer_epl,2023-10-21T09:00:00-05:00,2023-10-21T14:00:00Z,Brentford,Burnley,Brentford,Burnley,2.0
847,ce277932a11c04fb64e91e4cafaab38a,soccer_epl,2023-10-21T09:00:00-05:00,2023-10-21T14:00:00Z,Newcastle United,Crystal Palace,Newcastle United,Crystal Palace,2.0
844,4e8496d20347695809150f629832a3a1,soccer_epl,2023-10-21T11:30:00-05:00,2023-10-21T16:30:00Z,Chelsea,Arsenal,Chelsea,Arsenal,2.0
849,503b226b80dc3b0fb6c252ca17a2f7e4,soccer_epl,2023-10-21T14:00:00-05:00,2023-10-21T19:00:00Z,Sheffield United,Manchester United,Sheffield United,Manchester United,2.0
845,4026494a30d50d6e544312b4110353da,soccer_epl,2023-10-21T06:30:00-05:00,2023-10-21T11:30:42Z,Liverpool,Everton,Liverpool,Everton,1.9883
843,268cf4f91bfda0b9cac2a5236af1eead,soccer_epl,2023-10-21T09:00:00-05:00,2023-10-21T14:00:00Z,Brentford,Burnley,Brentford,Burnley,2.0
847,ce277932a11c04fb64e91e4cafaab38a,soccer_epl,2023-10-21T09:00:00-05:00,2023-10-21T14:00:00Z,Newcastle United,Crystal Palace,Newcastle United,Crystal Palace,2.0
844,4e8496d20347695809150f629832a3a1,soccer_epl,2023-10-21T11:30:00-05:00,2023-10-21T16:30:00Z,Chelsea,Arsenal,Chelsea,Arsenal,2.0
849,503b226b80dc3b0fb6c252ca17a2f7e4,soccer_epl,2023-10-21T14:00:00-05:00,2023-10-21T19:00:00Z,Sheffield United,Manchester United,Sheffield United,Manchester United,2.0
847,ce277932a11c04fb64e91e4cafaab38a,soccer_epl,2023-10-21T09:00:00-05:00,2023-10-21T14:01:59Z,Newcastle United,Crystal Palace,Newcastle United,Crystal Palace,1.9669
843,268cf4f91bfda0b9cac2a5236af1eead,soccer_epl,2023-10-21T09:00:00-05:00,2023-10-21T14:08:40Z,Brentford,Burnley,Brentford,Burnley,1.8556
844,4e8496d20347695809150f629832a3a1,soccer_epl,2023-10-21T11:30:00-05:00,2023-10-21T16:30:00Z,Chelsea,Arsenal,Chelsea,Arsenal,2.0
849,503b226b80dc3b0fb6c252ca17a2f7e4,soccer_epl,2023-10-21T14:00:00-05:00,2023-10-21T19:00:00Z,Sheffield United,Manchester United,Sheffield United,Manchester United,2.0
844,4e8496d20347695809150f629832a3a1,soccer_epl,2023-10-21T11:30:00-05:00,2023-10-21T16:30:24Z,Chelsea,Arsenal,Chelsea,Arsenal,1.9933
849,503b226b80dc3b0fb6c252ca17a2f7e4,soccer_epl,2023-10-21T14:00:00-05:00,2023-10-21T19:00:00Z,Sheffield United,Manchester United,Sheffield United,Manchester United,2.0
1347,4606047aeb27e6856b3ff293ec578e43,soccer_epl,2024-03-30T07:30:00-05:00,2024-03-30T12:30:00Z,Newcastle United,West Ham United,Newcastle United,West Ham United,2.0
1344,2597298743f78005ba7c2b7f9cefd2a4,soccer_epl,2024-03-30T10:00:00-05:00,2024-03-30T15:00:00Z,Chelsea,Burnley,Chelsea,Burnley,2.0
1348,d1e3eb5871c7e3b1ac9dabd09d94344f,soccer_epl,2024-03-30T10:00:00-05:00,2024-03-30T15:00:00Z,Nottingham Forest,Crystal Palace,Nottingham Forest,Crystal Palace,2.0
1349,efb7bcd1f4959bf80197ec581b077cb2,soccer_epl,2024-03-30T10:00:00-05:00,2024-03-30T15:00:00Z,Sheffield United,Fulham,Sheffield United,Fulham,2.0
1342,60b84c40ac236905064dae0535ba9c73,soccer_epl,2024-03-30T12:30:00-05:00,2024-03-30T17:30:00Z,Aston Villa,Wolverhampton Wanderers,Aston Villa,Wolverhampton Wanderers,2.0
1343,3c3df999f07010248fb7e25e24bc851e,soccer_epl,2024-03-30T15:00:00-05:00,2024-03-30T20:00:00Z,Brentford,Manchester United,Brentford,Manchester United,2.0
1347,4606047aeb27e6856b3ff293ec578e43,soccer_epl,2024-03-30T07:30:00-05:00,2024-03-30T12:30:07Z,Newcastle United,West Ham United,Newcastle United,West Ham United,1.9981
1344,2597298743f78005ba7c2b7f9cefd2a4,soccer_epl,2024-03-30T10:00:00-05:00,2024-03-30T15:00:00Z,Chelsea,Burnley,Chelsea,Burnley,2.0
1348,d1e3eb5871c7e3b1ac9dabd09d94344f,soccer_epl,2024-03-30T10:00:00-05:00,2024-03-30T15:00:00Z,Nottingham Forest,Crystal Palace,Nottingham Forest,Crystal Palace,2.0
