sport_key,league_name,calendar_year,calendar_month,fixtures_big5_db,fixtures_matched,fixtures_not_matched,match_rate,h2h_ready,totals_ready,ou25_ready,toa_snapshot_queries_planned_total,note_toa_queries_are_global_not_per_cell
soccer_epl,Premier League,2023,8,29,22,7,0.7586,22,22,22,2740,True
soccer_epl,Premier League,2023,9,38,27,11,0.7105,27,27,27,2740,True
soccer_epl,Premier League,2023,10,33,23,10,0.697,23,23,23,2740,True
soccer_epl,Premier League,2023,11,30,21,9,0.7,21,21,21,2740,True
soccer_epl,Premier League,2023,12,66,48,18,0.7273,48,48,48,2740,True
soccer_epl,Premier League,2024,1,20,15,5,0.75,15,15,15,2740,True
soccer_epl,Premier League,2024,2,42,29,13,0.6905,29,29,29,2740,True
soccer_epl,Premier League,2024,3,35,24,11,0.6857,24,24,24,2740,True
soccer_epl,Premier League,2024,4,53,39,14,0.7358,39,39,39,2740,True
soccer_epl,Premier League,2024,5,34,24,10,0.7059,24,24,24,2740,True
soccer_epl,Premier League,2024,8,27,21,6,0.7778,21,21,21,2740,True
soccer_epl,Premier League,2024,9,33,27,6,0.8182,27,27,27,2740,True
soccer_epl,Premier League,2024,10,30,24,6,0.8,24,24,24,2740,True
soccer_epl,Premier League,2024,11,36,29,7,0.8056,29,29,29,2740,True
soccer_epl,Premier League,2024,12,62,50,12,0.8065,50,50,50,2740,True
soccer_epl,Premier League,2025,1,41,33,8,0.8049,33,33,33,2740,True
soccer_epl,Premier League,2025,2,42,35,7,0.8333,35,35,35,2740,True
soccer_epl,Premier League,2025,3,18,14,4,0.7778,14,14,14,2740,True
soccer_epl,Premier League,2025,4,50,40,10,0.8,40,40,40,2740,True
soccer_epl,Premier League,2025,5,41,33,8,0.8049,33,33,33,2740,True
soccer_epl,Premier League,2026,4,23,17,6,0.7391,17,17,17,2740,True
soccer_france_ligue_one,Ligue 1,2023,8,27,10,17,0.3704,10,10,10,2740,True
soccer_france_ligue_one,Ligue 1,2023,9,30,12,18,0.4,12,12,12,2740,True
soccer_france_ligue_one,Ligue 1,2023,10,31,16,15,0.5161,16,16,16,2740,True
soccer_france_ligue_one,Ligue 1,2023,11,27,12,15,0.4444,12,12,12,2740,True
soccer_france_ligue_one,Ligue 1,2023,12,38,16,22,0.4211,16,16,16,2740,True
soccer_france_ligue_one,Ligue 1,2024,1,18,8,10,0.4444,8,8,8,2740,True
soccer_france_ligue_one,Ligue 1,2024,2,36,15,21,0.4167,15,15,15,2740,True
soccer_france_ligue_one,Ligue 1,2024,3,36,16,20,0.4444,16,16,16,2740,True
soccer_france_ligue_one,Ligue 1,2024,4,36,16,20,0.4444,16,16,16,2740,True
soccer_france_ligue_one,Ligue 1,2024,5,27,11,16,0.4074,11,11,11,2740,True
soccer_france_ligue_one,Ligue 1,2024,8,22,11,11,0.5,11,11,11,2740,True
soccer_france_ligue_one,Ligue 1,2024,9,32,10,22,0.3125,10,10,10,2740,True
soccer_france_ligue_one,Ligue 1,2024,10,27,9,18,0.3333,9,9,9,2740,True
soccer_france_ligue_one,Ligue 1,2024,11,31,13,18,0.4194,13,13,13,2740,True
soccer_france_ligue_one,Ligue 1,2024,12,24,8,16,0.3333,8,8,8,2740,True
soccer_france_ligue_one,Ligue 1,2025,1,36,9,27,0.25,9,9,9,2740,True
soccer_france_ligue_one,Ligue 1,2025,2,36,13,23,0.3611,13,13,13,2740,True
soccer_france_ligue_one,Ligue 1,2025,3,35,13,22,0.3714,13,13,13,2740,True
soccer_france_ligue_one,Ligue 1,2025,4,36,12,24,0.3333,12,12,12,2740,True
soccer_france_ligue_one,Ligue 1,2025,5,27,12,15,0.4444,12,12,12,2740,True
soccer_france_ligue_one,Ligue 1,2026,4,17,6,11,0.3529,6,6,6,2740,True
soccer_germany_bundesliga,Bundesliga,2023,8,18,6,12,0.3333,6,6,6,2740,True
soccer_germany_bundesliga,Bundesliga,2023,9,34,14,20,0.4118,14,14,14,2740,True
soccer_germany_bundesliga,Bundesliga,2023,10,29,9,20,0.3103,9,9,9,2740,True
soccer_germany_bundesliga,Bundesliga,2023,11,27,11,16,0.4074,11,11,11,2740,True
soccer_germany_bundesliga,Bundesliga,2023,12,35,12,23,0.3429,12,12,12,2740,True
soccer_germany_bundesliga,Bundesliga,2024,1,27,9,18,0.3333,9,9,9,2740,True
soccer_germany_bundesliga,Bundesliga,2024,2,37,14,23,0.3784,14,14,14,2740,True
soccer_germany_bundesliga,Bundesliga,2024,3,36,12,24,0.3333,12,12,12,2740,True
soccer_germany_bundesliga,Bundesliga,2024,4,36,14,22,0.3889,14,14,14,2740,True
soccer_germany_bundesliga,Bundesliga,2024,5,27,9,18,0.3333,9,9,9,2740,True
soccer_germany_bundesliga,Bundesliga,2024,8,16,7,9,0.4375,7,7,7,2740,True
soccer_germany_bundesliga,Bundesliga,2024,9,29,8,21,0.2759,8,8,8,2740,True
soccer_germany_bundesliga,Bundesliga,2024,10,27,7,20,0.2593,7,7,7,2740,True
soccer_germany_bundesliga,Bundesliga,2024,11,34,14,20,0.4118,14,14,14,2740,True
soccer_germany_bundesliga,Bundesliga,2024,12,29,12,17,0.4138,12,12,12,2740,True
