sport_key,league_name,calendar_year,calendar_month,fixtures_big5_db,fixtures_matched_improved,h2h_ready,totals_ready,ou25_ready,fixtures_not_matched,match_rate
soccer_epl,Premier League,2023,8,29,27,27,27,27,2,0.931
soccer_epl,Premier League,2023,9,38,34,34,34,34,4,0.8947
soccer_epl,Premier League,2023,10,33,29,29,29,29,4,0.8788
soccer_epl,Premier League,2023,11,30,27,27,27,27,3,0.9
soccer_epl,Premier League,2023,12,66,60,60,60,60,6,0.9091
soccer_epl,Premier League,2024,1,20,18,18,18,18,2,0.9
soccer_epl,Premier League,2024,2,42,38,38,38,38,4,0.9048
soccer_epl,Premier League,2024,3,35,30,30,30,30,5,0.8571
soccer_epl,Premier League,2024,4,53,47,47,47,47,6,0.8868
soccer_epl,Premier League,2024,5,34,30,30,30,30,4,0.8824
soccer_epl,Premier League,2024,8,27,27,27,27,27,0,1.0
soccer_epl,Premier League,2024,9,33,33,33,33,33,0,1.0
soccer_epl,Premier League,2024,10,30,30,30,30,30,0,1.0
soccer_epl,Premier League,2024,11,36,36,36,36,36,0,1.0
soccer_epl,Premier League,2024,12,62,62,62,62,62,0,1.0
soccer_epl,Premier League,2025,1,41,41,41,41,41,0,1.0
soccer_epl,Premier League,2025,2,42,42,42,42,42,0,1.0
soccer_epl,Premier League,2025,3,18,18,18,18,18,0,1.0
soccer_epl,Premier League,2025,4,50,50,50,50,50,0,1.0
soccer_epl,Premier League,2025,5,41,40,40,40,40,1,0.9756
soccer_epl,Premier League,2026,4,23,23,23,23,23,0,1.0
soccer_france_ligue_one,Ligue 1,2023,8,27,16,16,16,16,11,0.5926
soccer_france_ligue_one,Ligue 1,2023,9,30,18,18,18,18,12,0.6
soccer_france_ligue_one,Ligue 1,2023,10,31,19,19,19,19,12,0.6129
soccer_france_ligue_one,Ligue 1,2023,11,27,17,17,17,17,10,0.6296
soccer_france_ligue_one,Ligue 1,2023,12,38,21,21,21,21,17,0.5526
soccer_france_ligue_one,Ligue 1,2024,1,18,10,10,10,10,8,0.5556
soccer_france_ligue_one,Ligue 1,2024,2,36,21,21,21,21,15,0.5833
soccer_france_ligue_one,Ligue 1,2024,3,36,22,22,22,22,14,0.6111
soccer_france_ligue_one,Ligue 1,2024,4,36,21,21,21,21,15,0.5833
soccer_france_ligue_one,Ligue 1,2024,5,27,15,15,15,15,12,0.5556
soccer_france_ligue_one,Ligue 1,2024,8,22,13,13,13,13,9,0.5909
soccer_france_ligue_one,Ligue 1,2024,9,32,19,19,19,19,13,0.5938
soccer_france_ligue_one,Ligue 1,2024,10,27,15,15,15,15,12,0.5556
soccer_france_ligue_one,Ligue 1,2024,11,31,20,20,20,20,11,0.6452
soccer_france_ligue_one,Ligue 1,2024,12,24,14,14,14,14,10,0.5833
soccer_france_ligue_one,Ligue 1,2025,1,36,18,18,18,18,18,0.5
soccer_france_ligue_one,Ligue 1,2025,2,36,21,21,21,21,15,0.5833
soccer_france_ligue_one,Ligue 1,2025,3,35,21,21,21,21,14,0.6
soccer_france_ligue_one,Ligue 1,2025,4,36,21,21,21,21,15,0.5833
soccer_france_ligue_one,Ligue 1,2025,5,27,17,17,17,17,10,0.6296
soccer_france_ligue_one,Ligue 1,2026,4,17,11,11,11,11,6,0.6471
soccer_germany_bundesliga,Bundesliga,2023,8,18,18,18,18,18,0,1.0
soccer_germany_bundesliga,Bundesliga,2023,9,34,33,33,33,33,1,0.9706
soccer_germany_bundesliga,Bundesliga,2023,10,29,29,29,29,29,0,1.0
soccer_germany_bundesliga,Bundesliga,2023,11,27,27,27,27,27,0,1.0
soccer_germany_bundesliga,Bundesliga,2023,12,35,34,34,34,34,1,0.9714
soccer_germany_bundesliga,Bundesliga,2024,1,27,27,27,27,27,0,1.0
soccer_germany_bundesliga,Bundesliga,2024,2,37,36,36,36,36,1,0.973
soccer_germany_bundesliga,Bundesliga,2024,3,36,36,36,36,36,0,1.0
soccer_germany_bundesliga,Bundesliga,2024,4,36,36,36,36,36,0,1.0
soccer_germany_bundesliga,Bundesliga,2024,5,27,25,25,25,25,2,0.9259
soccer_germany_bundesliga,Bundesliga,2024,8,16,16,16,16,16,0,1.0
soccer_germany_bundesliga,Bundesliga,2024,9,29,29,29,29,29,0,1.0
soccer_germany_bundesliga,Bundesliga,2024,10,27,26,26,26,26,1,0.963
soccer_germany_bundesliga,Bundesliga,2024,11,34,33,33,33,33,1,0.9706
soccer_germany_bundesliga,Bundesliga,2024,12,29,29,29,29,29,0,1.0
soccer_germany_bundesliga,Bundesliga,2025,1,37,37,37,37,37,0,1.0
soccer_germany_bundesliga,Bundesliga,2025,2,36,36,36,36,36,0,1.0
soccer_germany_bundesliga,Bundesliga,2025,3,35,33,33,33,33,2,0.9429
soccer_germany_bundesliga,Bundesliga,2025,4,36,36,36,36,36,0,1.0
soccer_germany_bundesliga,Bundesliga,2025,5,27,26,26,26,26,1,0.963
soccer_germany_bundesliga,Bundesliga,2026,4,225,18,18,18,18,207,0.08
soccer_italy_serie_a,Serie A,2023,8,20,18,18,18,18,2,0.9
soccer_italy_serie_a,Serie A,2023,9,43,38,38,38,38,5,0.8837
soccer_italy_serie_a,Serie A,2023,10,37,34,34,34,34,3,0.9189
soccer_italy_serie_a,Serie A,2023,11,30,27,27,27,27,3,0.9
soccer_italy_serie_a,Serie A,2023,12,50,45,45,45,45,5,0.9
soccer_italy_serie_a,Serie A,2024,1,36,33,33,33,33,3,0.9167
soccer_italy_serie_a,Serie A,2024,2,44,39,39,39,39,5,0.8864
soccer_italy_serie_a,Serie A,2024,3,34,31,31,31,31,3,0.9118
soccer_italy_serie_a,Serie A,2024,4,45,39,39,39,39,6,0.8667
soccer_italy_serie_a,Serie A,2024,5,40,35,35,35,35,5,0.875
soccer_italy_serie_a,Serie A,2024,6,1,1,1,1,1,0,1.0
soccer_italy_serie_a,Serie A,2024,8,26,23,23,23,23,3,0.8846
soccer_italy_serie_a,Serie A,2024,9,34,31,31,31,31,3,0.9118
soccer_italy_serie_a,Serie A,2024,10,39,35,35,35,35,4,0.8974
soccer_italy_serie_a,Serie A,2024,11,34,31,31,31,31,3,0.9118
soccer_italy_serie_a,Serie A,2024,12,45,41,41,41,41,4,0.9111
soccer_italy_serie_a,Serie A,2025,1,41,37,37,37,37,4,0.9024
soccer_italy_serie_a,Serie A,2025,2,42,37,37,37,37,5,0.881
soccer_italy_serie_a,Serie A,2025,3,39,35,35,35,35,4,0.8974
soccer_italy_serie_a,Serie A,2025,4,40,35,35,35,35,5,0.875
soccer_italy_serie_a,Serie A,2025,5,40,36,36,36,36,4,0.9
soccer_italy_serie_a,Serie A,2026,4,20,18,18,18,18,2,0.9
soccer_spain_la_liga,La Liga,2023,8,30,27,27,27,27,3,0.9
soccer_spain_la_liga,La Liga,2023,9,44,39,39,39,39,5,0.8864
soccer_spain_la_liga,La Liga,2023,10,35,32,32,32,32,3,0.9143
soccer_spain_la_liga,La Liga,2023,11,30,27,27,27,27,3,0.9
soccer_spain_la_liga,La Liga,2023,12,41,37,37,37,37,4,0.9024
soccer_spain_la_liga,La Liga,2024,1,39,35,35,35,35,4,0.8974
soccer_spain_la_liga,La Liga,2024,2,40,36,36,36,36,4,0.9
soccer_spain_la_liga,La Liga,2024,3,39,35,35,35,35,4,0.8974
soccer_spain_la_liga,La Liga,2024,4,32,29,29,29,29,3,0.9062
soccer_spain_la_liga,La Liga,2024,5,50,45,45,45,45,5,0.9
soccer_spain_la_liga,La Liga,2024,8,34,29,29,29,29,5,0.8529
soccer_spain_la_liga,La Liga,2024,9,46,42,42,42,42,4,0.913
soccer_spain_la_liga,La Liga,2024,10,30,27,27,27,27,3,0.9
soccer_spain_la_liga,La Liga,2024,11,32,28,28,28,28,4,0.875
soccer_spain_la_liga,La Liga,2024,12,39,34,34,34,34,5,0.8718
soccer_spain_la_liga,La Liga,2025,1,30,28,28,28,28,2,0.9333
soccer_spain_la_liga,La Liga,2025,2,40,36,36,36,36,4,0.9
soccer_spain_la_liga,La Liga,2025,3,38,34,34,34,34,4,0.8947
soccer_spain_la_liga,La Liga,2025,4,41,36,36,36,36,5,0.878
soccer_spain_la_liga,La Liga,2025,5,50,45,45,45,45,5,0.9
soccer_spain_la_liga,La Liga,2026,4,17,14,14,14,14,3,0.8235
