segment,universe_n,subset_n,delta_home_rate_pp,delta_draw_rate_pp,delta_away_rate_pp,delta_ou25_over_pp,delta_btts_yes_pp,avg_goals_universe,avg_goals_subset,dataset
global,3558,3088,-0.43,0.41,0.02,-0.18,0.12,2.8521641371557056,2.844559585492228,roi_safe_subset_v1
league:soccer_epl,775,734,-0.17,0.2,-0.03,-0.69,-1.17,3.099354838709677,3.0708446866485013,roi_safe_subset_v1
league:soccer_france_ligue_one,623,365,-2.97,0.79,2.18,-0.67,-0.97,2.831460674157303,2.8328767123287673,roi_safe_subset_v1
league:soccer_germany_bundesliga,622,612,-0.14,0.25,-0.11,-0.46,0.16,3.180064308681672,3.156862745098039,roi_safe_subset_v1
league:soccer_italy_serie_a,773,693,0.07,0.91,-0.98,-0.94,0.65,2.5769728331177233,2.5281385281385282,roi_safe_subset_v1
league:soccer_spain_la_liga,765,684,-0.03,-0.34,0.37,0.65,0.87,2.630065359477124,2.6491228070175437,roi_safe_subset_v1
global,3558,3088,-0.43,0.41,0.02,-0.18,0.12,2.8521641371557056,2.844559585492228,roi_safe_subset_v2_full
league:soccer_epl,775,734,-0.17,0.2,-0.03,-0.69,-1.17,3.099354838709677,3.0708446866485013,roi_safe_subset_v2_full
league:soccer_france_ligue_one,623,365,-2.97,0.79,2.18,-0.67,-0.97,2.831460674157303,2.8328767123287673,roi_safe_subset_v2_full
league:soccer_germany_bundesliga,622,612,-0.14,0.25,-0.11,-0.46,0.16,3.180064308681672,3.156862745098039,roi_safe_subset_v2_full
league:soccer_italy_serie_a,773,693,0.07,0.91,-0.98,-0.94,0.65,2.5769728331177233,2.5281385281385282,roi_safe_subset_v2_full
league:soccer_spain_la_liga,765,684,-0.03,-0.34,0.37,0.65,0.87,2.630065359477124,2.6491228070175437,roi_safe_subset_v2_full
global,3558,2674,-0.72,0.49,0.23,-0.43,0.23,2.8521641371557056,2.830964846671653,roi_safe_subset_v2_stratified
league:soccer_epl,775,611,-0.47,0.14,0.33,0.44,0.58,3.099354838709677,3.0949263502454993,roi_safe_subset_v2_stratified
league:soccer_france_ligue_one,623,365,-2.97,0.79,2.18,-0.67,-0.97,2.831460674157303,2.8328767123287673,roi_safe_subset_v2_stratified
league:soccer_germany_bundesliga,622,489,-0.58,0.36,0.21,-0.23,0.89,3.180064308681672,3.18200408997955,roi_safe_subset_v2_stratified
league:soccer_italy_serie_a,773,607,-0.26,0.71,-0.45,-0.35,0.51,2.5769728331177233,2.5238879736408566,roi_safe_subset_v2_stratified
league:soccer_spain_la_liga,765,602,-0.16,0.11,0.05,-1.44,-0.27,2.630065359477124,2.586378737541528,roi_safe_subset_v2_stratified
global,3558,3088,-0.57,0.38,0.18,-0.39,-0.02,2.8521641371557056,2.836848314930791,roi_safe_subset_v2_weighted
league:soccer_epl,775,673,-0.01,0.16,-0.15,-0.52,-1.13,3.099354838709677,3.0793611226330646,roi_safe_subset_v2_weighted
league:soccer_france_ligue_one,623,541,-3.16,0.87,2.29,-0.67,-0.66,2.831460674157303,2.8326540698419476,roi_safe_subset_v2_weighted
league:soccer_germany_bundesliga,622,540,-0.18,0.31,-0.13,-0.47,0.18,3.180064308681672,3.1556641817651356,roi_safe_subset_v2_weighted
league:soccer_italy_serie_a,773,671,0.09,0.96,-1.05,-0.97,0.61,2.5769728331177233,2.5275247505762017,roi_safe_subset_v2_weighted
league:soccer_spain_la_liga,765,664,0.01,-0.31,0.3,0.64,0.81,2.630065359477124,2.647919321730031,roi_safe_subset_v2_weighted
