bt2_team_id,bt2_team_name,toa_team_name_candidate,league,sport_key,similarity_score,evidence_count,mm3_1d_recommendation,review_class
16816,Atalanta,Atalanta BC,Serie A,soccer_italy_serie_a,0.8421,84,review_manual,needs_manual_review
6652,Osasuna,CA Osasuna,La Liga,soccer_spain_la_liga,0.8235,84,review_manual,needs_manual_review
1527,Brighton & Hove Albion,Brighton and Hove Albion,Premier League,soccer_epl,0.913,79,probable_typo_or_locale,needs_manual_review
16809,Inter,Inter Milan,Serie A,soccer_italy_serie_a,0.625,79,review_manual,low_confidence
6647,Athletic Club,Athletic Bilbao,La Liga,soccer_spain_la_liga,0.7857,78,review_manual,needs_manual_review
2906,Bayer 04 Leverkusen,Bayer Leverkusen,Bundesliga,soccer_germany_bundesliga,0.9143,70,probable_typo_or_locale,needs_manual_review
2922,FC Bayern München,Bayern Munich,Bundesliga,soccer_germany_bundesliga,0.7333,70,review_manual,low_confidence
2918,VfL Bochum 1848,VfL Bochum,Bundesliga,soccer_germany_bundesliga,0.8,68,review_manual,needs_manual_review
13796,LOSC Lille,Lille,Ligue 1,soccer_france_ligue_one,0.6667,58,review_manual,low_confidence
13793,Olympique Marseille,Marseille,Ligue 1,soccer_france_ligue_one,0.6429,54,review_manual,low_confidence
13804,Lens,RC Lens,Ligue 1,soccer_france_ligue_one,0.7273,51,review_manual,low_confidence
13794,Reims,Stade de Reims,Ligue 1,soccer_france_ligue_one,0.5263,51,review_manual,low_confidence
1528,Luton Town,Luton,Premier League,soccer_epl,0.6667,38,review_manual,low_confidence
12265,Real Valladolid,Valladolid,La Liga,soccer_spain_la_liga,0.8,36,review_manual,needs_manual_review
14412,Angers SCO,Angers,Ligue 1,soccer_france_ligue_one,0.75,26,review_manual,needs_manual_review
13795,Nice,Nice,Ligue 1,soccer_france_ligue_one,1.0,21,strong_alias_candidate,likely_duplicate
13791,Rennes,Rennes,Ligue 1,soccer_france_ligue_one,1.0,21,strong_alias_candidate,likely_duplicate
13800,Toulouse,Toulouse,Ligue 1,soccer_france_ligue_one,1.0,20,strong_alias_candidate,likely_duplicate
13802,Le Havre,Le Havre,Ligue 1,soccer_france_ligue_one,1.0,20,strong_alias_candidate,likely_duplicate
13798,Monaco,AS Monaco,Ligue 1,soccer_france_ligue_one,0.8,19,review_manual,needs_manual_review
13803,Brest,Brest,Ligue 1,soccer_france_ligue_one,1.0,18,strong_alias_candidate,likely_duplicate
13799,Nantes,Nantes,Ligue 1,soccer_france_ligue_one,1.0,18,strong_alias_candidate,likely_duplicate
13787,Paris Saint Germain,Paris Saint Germain,Ligue 1,soccer_france_ligue_one,1.0,18,strong_alias_candidate,likely_duplicate
13801,Montpellier,Montpellier,Ligue 1,soccer_france_ligue_one,1.0,18,strong_alias_candidate,likely_duplicate
13789,Strasbourg,Strasbourg,Ligue 1,soccer_france_ligue_one,1.0,18,strong_alias_candidate,likely_duplicate
2890,VfB Stuttgart,VfB Stuttgart,Bundesliga,soccer_germany_bundesliga,1.0,13,strong_alias_candidate,likely_duplicate
2892,Borussia Dortmund,Borussia Dortmund,Bundesliga,soccer_germany_bundesliga,1.0,13,strong_alias_candidate,likely_duplicate
2878,FC Augsburg,Augsburg,Bundesliga,soccer_germany_bundesliga,0.8421,13,review_manual,needs_manual_review
6646,Rayo Vallecano,Rayo Vallecano,La Liga,soccer_spain_la_liga,1.0,12,strong_alias_candidate,likely_duplicate
2902,Werder Bremen,Werder Bremen,Bundesliga,soccer_germany_bundesliga,1.0,12,strong_alias_candidate,likely_duplicate
2924,RB Leipzig,RB Leipzig,Bundesliga,soccer_germany_bundesliga,1.0,12,strong_alias_candidate,likely_duplicate
2898,Eintracht Frankfurt,Eintracht Frankfurt,Bundesliga,soccer_germany_bundesliga,1.0,12,strong_alias_candidate,likely_duplicate
2896,FSV Mainz 05,FSV Mainz 05,Bundesliga,soccer_germany_bundesliga,1.0,12,strong_alias_candidate,likely_duplicate
2914,SC Freiburg,SC Freiburg,Bundesliga,soccer_germany_bundesliga,1.0,12,strong_alias_candidate,likely_duplicate
2874,VfL Wolfsburg,VfL Wolfsburg,Bundesliga,soccer_germany_bundesliga,1.0,12,strong_alias_candidate,likely_duplicate
2888,TSG Hoffenheim,TSG Hoffenheim,Bundesliga,soccer_germany_bundesliga,1.0,12,strong_alias_candidate,likely_duplicate
